"","date","X","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","avg.oog","perc.rdw","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","dissolved.oxygen","daily.min.do","daily.max.do","daily.do.range","daily.med.do","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","min.daily.sal.lt5","min.daily.sal.lt10","min.daily.sal.lt15","max.daily.sal.lt5","max.daily.sal.lt10","max.daily.sal.lt15","daily.sal.range.gt10","daily.sal.range.gt5","min.daily.ph.lt7","min.daily.ph.lt8","max.daily.ph.lt7","daily.ph.range.gt0.5","daily.max.wt.gt20"
"1",2018-06-15,1,34.3,29.8,NA,NA,2,2.2964,0.6285,24.125,53,21.1995074852218,12.1111111111111,12.782955507118,29.05,28.25,29.5,1.275,28.7875,8.2,5.85,10.95,5.2,8.2,8.1,7.8,8.3,0.5,8.1,17.825,14.4,19.85,5.4,17.95,28,28,28,28,28,28,28,28,1,31,1,12,0
"2",2018-07-16,2,128.2,52.7,10.9,117.3,2,2.5721,0.4581,14.9,64.3,12.955427339889,4.66666666666668,8.97562110625184,31.05,30.4,31.3,0.850000000000001,30.675,7.55,5.9,9,3,7.6,7.9,7.8,8,0.2,7.9,18.325,16.2,20.45,4.5,18.425,29,29,29,29,29,29,29,29,1,32,1,1,0
"3",2018-08-06,3,119.9,38.4,12.9,107,4,3.4752,1.0841,18.3,74.4,17.5410929133971,8.44444444444442,17.1001838856863,31.1,30.25,31.125,0.725,30.6375,7.7,6.45,9,2.6,7.75,7.9,7.8,8,0.199999999999999,7.9,19.3,17.9,19.95,2,19.2,18,18,18,18,18,18,18,18,1,22,1,1,0
"4",2018-09-10,4,102.4,52.4,4.8,97.6,1,4.2065,0.356333333333333,6.6,63.9,7.52654480595657,11.2222222222222,5.25886682579841,31.8,30.2,31.4,0.800000000000001,30.925,7.4,6.25,9.15,2.85,7.35,7.9,7.7,8,0.2,7.9,18.7,17.15,19.8,2.325,18.8375,33,33,33,33,33,33,33,33,4,36,4,8,0
"5",2018-10-09,5,49.9,47.5,8.9,41,1,9.2224,2.9664,73.9,152.2,29.5443404818578,23.2222222222222,23.5044667643068,31.7,29.5,31.2,1.7,31.1,7.55,6.6,8.9,2.05,7.5,7.9,7.8,8,0.2,7.9,18.55,17.4,19.4,2.05,18.575,29,29,29,29,29,29,29,29,1,30,1,1,0
"6",2018-11-06,6,33.2,61.5,10.2,23,2,7.337,3.521,78.8,91.4,43.8850524515228,25.7777777777778,29.0074512390104,31.6,30.525,31.85,1.275,31.4,7.4,6.525,8.75,2.075,7.6375,7.9,7.8,8,0.2,7.9,17,16.3,17.65,1.125,16.975,25,25,25,25,25,25,25,25,1,29,1,1,0
"7",2018-12-04,7,26.4,53.5,8.1,18.3,2,3.684,0.8919,33,55.5,29.5146615752001,47,14.6673269941759,31.35,NA,NA,NA,NA,7.7,7.05,9.4,2.45,7.8,8,7.8,8.1,0.299999999999999,7.95,15.1,12.7,13.5,0.9,13.15,29,29,29,29,29,29,29,29,2,29,2,4,0
"8",2019-01-31,8,19.6,42.3,4,15.6,2,2.893,0.1291,3.9,58.3,4.48466632298315,55.111111111111,2.56926152815183,29.5,29.1,30.1,1,29.6,7.85,7.525,8.3,0.8,7.9,7.9,7.8,7.9,0.100000000000001,7.9,12.05,11.475,12.5,1.15,12,54,54,54,54,54,54,54,54,3,59,3,3,0
"9",2019-02-21,9,17.4,39.1,7.2,10.2,2,3.3092,0.1633,6.3,68,5.25358671029449,28.1111111111111,2.45863693431041,22.8,22.15,24.8,1.55,24,8.4,8.1,8.8,0.799999999999999,8.4,7.9,7.9,8,0.0999999999999996,7.9,11.7,11.2,12.1,0.9,11.7,19,19,19,19,19,19,19,19,4,21,4,4,0
"10",2019-03-14,10,18.1,44.1,10.3,7.8,2,4.0094,0.2845,9.3,69.6,9.73509542447726,29.2222222222222,5.07044378040752,16.85,15.9,18.1,2.15,16.75,9.2,8.85,9.8,1,9.2,8,7.9,8.075,0.0999999999999996,8,11.9,11.65,12.35,0.85,11.9,15,15,17,15,15,15,15,15,2,14,2,2,0
"11",2019-04-09,11,17,49.1,7.9,9.1,2,5.9182,0.3883,11.6,88.2,9.76056495418357,23.3333333333333,5.50368015624486,18.9,15.025,16.8,2.1,15.6,9.4,8.025,13.1,5.125,9.3,8.1,8,8.5,0.5,8.125,14.5,13.75,15.5,1.65,14.4,23,23,25,23,23,24,23,23,1,11,1,10,0
"12",2019-05-08,12,44.2,43.2,6.2,38,2.5,5.2387,0.9579,37.3,102.5,17.9204023733361,1.77777777777778,10.3509385347999,21.175,21,21.7,0.900000000000002,21.3,10.4,6.9,14.6,7.25,10.8,8.3,7.9,8.6,0.65,8.35,16.15,14.5,18,3.45,16.35,27,27,27,27,27,27,27,27,1,20,1,22,0
"13",2019-06-08,13,10.5,23.9,3.4,7.1,2.5,7.6804,2.0539,64.2,139.5,19.7225076969206,9.11111111111112,12.4524501527057,24.5,NA,NA,NA,NA,7.3,5.65,8.9,3.25,7.325,7.9,7.8,8.1,0.3,7.9,16.95,15.2,18.65,3.15,17.25,32,32,32,32,32,32,32,32,1,32,1,6,0
"14",2019-07-20,14,45.2,6.8,0.7,44.5,1,1.9294,0.088,3,32.1,5.0243915600885,3.33333333333333,2.08794748650706,27.1,25.775,28.075,1.85,26.625,7.1,5.15,9.15,4.8,7.2,7.9,7.7,8.1,0.4,7.9,18.675,16.3,20.85,4.25,19,37,37,37,37,37,37,37,37,1,41,1,14,0
"15",2019-08-04,15,60,8.1,0.6,59.4,1,1.2789,0.2807,9.2,26.4,6.95835884874464,12.8333333333333,4.35552378574523,29.8,NA,NA,NA,NA,7.5,6.5,9.2,2.55,7.5,8,7.9,8.1,0.199999999999999,8,19,17,19.95,3.05,19.1,16,16,16,16,16,16,16,16,1,14,1,1,0
"16",2019-09-12,16,50.4,14.1,1.2,49.2,1,NA,NA,NA,NA,NA,NA,NA,29.95,29.5,30.25,0.775,29.875,7.2,5.95,8.9,3.15,7.3,8,7.9,8.1,0.250000000000001,8,20,18.1,21.7,3.7,20.2,28,28,28,28,28,28,28,28,1,39,1,1,0
