source,scientificName,observed_on,latitude,longitude,type,references
iNaturalist,Fucus distichus L.,9/7/2021 7:09,37.939767,-122.410767,unclear,https://www.inaturalist.org/observations/94014099
iNaturalist,Fucus distichus L.,9/7/2021 8:12,37.939437,-122.410603,unclear,https://www.inaturalist.org/observations/93999090
iNaturalist,Fucus distichus L.,9/7/2021 8:25,37.9393,-122.411138,attached,https://www.inaturalist.org/observations/94011571
iNaturalist,Fucus distichus L.,9/7/2021 7:47,37.939417,-122.410843,attached,https://www.inaturalist.org/observations/93994878
iNaturalist,Fucus distichus L.,9/7/2021 8:38,37.939483,-122.4106,unclear,https://www.inaturalist.org/observations/94025146
iNaturalist,Fucus distichus L.,9/7/2021 7:01,37.942275,-122.410995,wrack,https://www.inaturalist.org/observations/94041275
iNaturalist,Fucus distichus L.,8/3/2021 11:19,37.939353,-122.411033,attached,https://www.inaturalist.org/observations/90055771
iNaturalist,Fucus distichus L.,6/19/2015 18:13,37.870297,-122.308594,attached,https://www.inaturalist.org/observations/1649264
iNaturalist,Fucus distichus L.,12/11/2013 13:57,37.80737,-122.469062,wrack,https://www.inaturalist.org/observations/480100
iNaturalist,Fucus distichus L.,4/5/2021 13:15,37.811325,-122.372483,attached,https://www.inaturalist.org/observations/86915318
iNaturalist,Fucus distichus L.,4/5/2017 14:14,37.81269,-122.368664,attached,https://www.inaturalist.org/observations/5584611
iNaturalist,Fucus distichus L.,6/11/2021 17:39,37.791708,-122.2728,attached,https://www.inaturalist.org/observations/82686565
iNaturalist,Fucus distichus L.,5/26/2021 15:51,38.021959,-122.14571,wrack,https://www.inaturalist.org/observations/80419261
iNaturalist,Fucus distichus L.,5/14/2020 15:23,37.834267,-122.296775,wrack,https://www.inaturalist.org/observations/63265508
iNaturalist,Fucus distichus L.,5/29/2021 14:21,38.003414,-122.462678,attached,https://www.inaturalist.org/observations/80808285
iNaturalist,Fucus distichus L.,6/7/2021 18:19,37.884666,-122.472847,wrack,https://www.inaturalist.org/observations/82103509
iNaturalist,Fucus distichus L.,6/7/2021 16:29,37.865701,-122.306455,unclear,https://www.inaturalist.org/observations/82092593
iNaturalist,Fucus distichus L.,6/7/2021 18:18,37.884892,-122.472847,wrack,https://www.inaturalist.org/observations/82103477
iNaturalist,Fucus distichus L.,5/9/2021 10:36,37.807951,-122.426451,attached,https://www.inaturalist.org/observations/78146526
iNaturalist,Fucus distichus L.,5/9/2021 10:36,37.807951,-122.426451,attached,https://www.inaturalist.org/observations/78146525
