"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","min.daily.sal.lt5","min.daily.sal.lt10","min.daily.sal.lt15","max.daily.sal.lt5","max.daily.sal.lt10","max.daily.sal.lt15","daily.sal.range.gt10","daily.sal.range.gt5","min.daily.ph.lt7","min.daily.ph.lt8","max.daily.ph.lt7","daily.ph.range.gt0.5","daily.max.wt.gt20","site","air.temp","daily.min.air","daily.max.air","daily.air.range","daily.med.air"
"1",2018-06-14,30,35.6,NA,NA,3,6.601,3.9375,82,77.6666666666667,49.2477866886313,49.7777777777778,24.8882440829904,250,557075.888888889,21802,22.55,20.45,26,5.45,22.5,22.5,7.8,7.95,0.2,7.825,17.475,16.5,19.05,2.7,17.5,0,0,0,0,0,0,0,21,0,31,0,0,0,"pc.cc",13.091975,11.6894,17.83309,5.136245,12.52106
"2",2018-07-17,90.2,29.9,3.2,87,1,1.4398,0.487,8.4,24.9,9.67748917748917,13.8888888888889,8.0279341369392,226.666666666667,67533.2222222221,6641.33333333333,25.2,23.5,27.9,4.55,25.3,7.8,7.8,7.9,0.1,7.8,19.2,18.2,20.7,2.6,19.3,0,0,0,0,0,0,0,11,3,33,3,3,0,"pc.cc",14.263465,13.089415,18.24118,4.943295,13.87399
"3",2018-08-07,163.5,53.4,15.4,148.1,1,2.1754,0.3992,7.8,28.9,13.3245725553025,7.77777777777777,9.16204209893318,108.666666666667,1726.66666666666,802,25.8,24.65,28.4,3.65,25.6,7.9,7.8,8.1,0.299999999999999,7.9,20.7,19.6,22.05,2.4,20.6,0,0,0,0,0,0,0,2,0,21,0,2,0,"pc.cc",14.682765,12.65081,19.43701,5.690605,14.10463
"4",2018-09-11,120.8,58.2,4.3,116.5,1,3.3098,0.4294,10.6,47.1,18.5738325122781,7.77777777777777,11.1251634984535,250,12830,2630,26.2,24.95,28.45,3.3,26.15,7.9,7.9,7.9,0.0999999999999996,7.9,19.1,18.45,20.3,1.75,19.175,0,0,0,0,0,0,0,0,2,35,2,2,0,"pc.cc",14.9456525,13.17453,17.93985,4.427035,15.17951
"5",2018-12-05,35.1,55,13.5,21.6,3,3.3005,1.2959,45.2,58.9,33.6364714747263,42.2222222222222,23.0614667846687,346.666666666667,278007.888888889,12372.6666666667,26,25.1,28.1,3.1,26.025,7.9,7.9,8,0.0999999999999996,7.9,17.3,16.9,17.8,1.1,17.2,0,0,0,0,0,0,0,2,10,85,10,10,0,"pc.cc",15.185185,12.93628,18.63577,5.298895,15.0486175
"6",2019-01-30,25.2,49.3,8.8,16.4,3,3.2846,0.6915,23.1,56.4,19.8561400534955,26.5555555555555,12.0422754261229,312,159910.666666667,17069.3333333333,22.9,21.575,25.775,4.825,22.9875,7.85,7.85,7.9,0,7.9,11.5,10.8,11.975,1,11.5375,0,2,11,0,0,0,8,24,9,56,9,9,0,"pc.cc",11.3383625,9.707526,13.4317225,3.69399575,11.416595
"7",2019-02-20,28.4,49.1,15,13.4,2.5,2.30755555555556,0.160444444444444,8.22222222222222,48.375,9.44711566904561,35.6666666666667,5.05535040694236,338,146512.777777778,5751.33333333333,12.825,10,19.8,10.35,12.1,7.8,7.7,7.8,0.0499999999999998,7.8,11.2,10.5,11.65,1.2,11.1,1,10,20,0,0,3,12,19,1,21,1,1,0,"pc.cc",9.3306485,7.3911075,11.16026,3.8934325,8.693208
"8",2019-03-15,21.7,38.2,13.2,8.5,2,3.2326,0.1099,5.8,75.3,5.43926740101599,18.1111111111111,2.28019209808714,186.666666666667,29954.6666666667,3894.66666666667,5.075,3.9,11.5,6.4,5.075,7.85,7.8,7.9,0.100000000000001,7.875,11.2,10.9,11.7,1,11.2,18,23,23,2,11,21,2,15,2,23,2,2,0,"pc.cc",10.33125,8.684929,11.79727,3.008063,9.575718
"9",2019-04-11,19.4,37.2,11.4,8,2,3.6192,0.1755,6.8,96.2,6.81932697769802,14.6666666666667,4.05590927857383,295.333333333333,26138,4220.66666666667,7.325,6,15,8.75,7.25,7.9,7.9,8,0.0999999999999996,7.9,14.1,13.65,14.95,1,14.05,5,27,27,0,1,13,9,25,1,20,1,1,0,"pc.cc",12.750935,11.34539,15.46143,4.59354,12.482375
"10",2019-05-09,12.3,40.5,8.9,3.4,5,4.5223,1.4546,57.5,92.7,33.1041596958124,0,21.6652968514317,236.666666666667,0,10352,9.6,7.675,17.05,9.1,8.75,8,7.9,8.025,0.15,8,16,15.2,17.4,2.275,16.2,0,24,28,0,0,6,10,27,0,23,0,0,0,"pc.cc",12.249755,11.0811125,15.5596775,4.860977,11.9272825
