"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","max.daily.sal.lt10","min.daily.sal.gt28","max.daily.ph.gt8","site","air.temp","daily.min.air","daily.max.air","daily.air.range","daily.med.air","max.daily.air.gt26","lag.no.large.fuc.q"
"1",2018-06-14,30,35.6,NA,NA,3,6.601,3.9375,82,77.6666666666667,49.2477866886313,49.7777777777778,24.8882440829904,250,557075.888888889,21802,22.55,20.475,26,5.425,22.425,22.425,7.8,7.975,0.2,7.825,17.55,16.5,19.075,2.725,17.55,0,0,6,"pc.cc",13.1364375,11.74948,17.910505,5.25642,12.545945,1,"NA"
"2",2018-07-17,90.2,29.9,3.2,87,1,1.4398,0.487,8.4,24.9,9.67748917748917,13.8888888888889,8.0279341369392,226.666666666667,67533.2222222221,6641.33333333333,25.1,23.5,27.925,4.525,25.1125,7.8,7.8,7.9,0.0999999999999996,7.8,19.3,18.275,20.95,2.625,19.3,0,0,4,"pc.cc",14.5366475,13.2717025,18.42722,5.187545,14.012455,1,"NA"
"3",2018-08-07,163.5,53.4,15.4,148.1,1,2.1754,0.3992,7.8,28.9,13.3245725553025,7.77777777777777,9.16204209893318,108.666666666667,1726.66666666666,802,25.8,24.4,28.2,4.05,25.6375,7.9,7.825,8.025,0.2,7.9,20.6,19.3,21.925,2.45,20.4375,0,0,15,"pc.cc",15.1210875,13.30571,19.2729,5.613295,14.26716,0,"3.2"
"4",2018-09-11,120.8,58.2,4.3,116.5,1,3.3098,0.4294,10.6,47.1,18.5738325122781,7.77777777777777,11.1251634984535,250,12830,2630,26.3,25,28.45,3.25,26.2875,7.9,7.9,8,0.0999999999999996,7.9,19.05,18.4,20.025,1.65,19.125,0,0,6,"pc.cc",14.9089925,13.23772,17.79603,4.2586175,15.19226375,0,"15.4"
"5",2018-12-05,35.1,55,13.5,21.6,3,3.3005,1.2959,45.2,58.9,33.6364714747263,42.2222222222222,23.0614667846687,346.666666666667,278007.888888889,12372.6666666667,25.7,24.35,27.775,3.275,25.5,7.9,7.9,7.925,0.0999999999999996,7.9,13.375,12.75,13.7,0.975,13.1875,0,0,4,"pc.cc",13.77935,11.670355,15.92647,4.158976,14.14940875,0,"4.3"
"6",2019-01-30,25.2,49.3,8.8,16.4,3,3.2846,0.6915,23.1,56.4,19.8561400534955,26.5555555555555,12.0422754261229,312,159910.666666667,17069.3333333333,20.1,16.925,24.6,6.725,18.8375,7.8,7.8,7.8,0,7.8,11.125,10.75,11.575,0.9,11.1375,0,0,4,"pc.cc",11.088875,9.68552,13.1896625,3.85047825,11.12571,0,"13.5"
"7",2019-02-20,28.4,49.1,15,13.4,2.5,2.30755555555556,0.160444444444444,8.22222222222222,48.375,9.44711566904561,35.6666666666667,5.05535040694236,338,146512.777777778,5751.33333333333,13.075,11.1,20.6,10.4,12.35,7.8,7.7,7.8,0.0999999999999996,7.8,11.4,10.7,11.8,1.075,11.4,0,0,1,"pc.cc",10.14484,8.2516405,12.46488,4.38356975,9.4716385,0,"8.8"
"8",2019-03-15,21.7,38.2,13.2,8.5,2,3.2326,0.1099,5.8,75.3,5.43926740101599,18.1111111111111,2.28019209808714,186.666666666667,29954.6666666667,3894.66666666667,5.5,4.25,12.175,7.55,5.5125,7.8,7.8,7.9,0.100000000000001,7.8,11.05,10.575,11.45,1,11.1,11,0,2,"pc.cc",10.068815,8.572711,11.702575,3.8319295,9.531135,0,"15.0"
"9",2019-04-11,19.4,37.2,11.4,8,2,3.6192,0.1755,6.8,96.2,6.81932697769802,14.6666666666667,4.05590927857383,295.333333333333,26138,4220.66666666667,7.15,5.85,14.4,8.4,6.9125,7.9,7.85,8,0.0999999999999996,7.9,14,13.6,14.875,1,13.95,4,0,5,"pc.cc",12.669115,10.4283425,15.4998275,5.117814,12.47579,0,"13.2"
"10",2019-05-09,12.3,40.5,8.9,3.4,5,4.5223,1.4546,57.5,92.7,33.1041596958124,0,21.6652968514317,236.666666666667,0,10352,9.5,7.475,16.825,9.375,8.6125,8,7.9,8.05,0.125,8,15.925,15.15,17.2,2.25,16.15,0,0,16,"pc.cc",12.3174675,11.0811125,15.8913775,4.860977,11.9272825,1,"11.4"
"11",2019-06-09,6.1,25.7,2.9,3.2,5,4.3251,4.678,99.3,57.6,59.1684416615552,2.66666666666667,47.3852789130402,248,21804.6666666667,17441.3333333333,13.65,11.35,20.125,8.8,13.5375,7.8,7.7,7.8,0.0999999999999996,7.8,16.7,15.875,18.2,2.275,16.9125,0,0,1,"pc.cc",12.51188,11.34215,15.52152,4.09274,12.49932875,1,"8.9"
"12",2019-07-21,30.6,9.8,1.7,28.9,1,1.2655,0.5457,8.2,21.8,12.3464737876503,3.77777777777779,10.4125220579748,173.333333333333,17371.7777777778,5105.33333333333,21.5,17.925,25.275,7.1,20.6,7.7,7.7,7.7,0.0999999999999996,7.7,19.15,18.1,21.2,2.875,19.225,0,0,0,"pc.cc",14.6504,12.65319,18.09561,5.1445725,14.338485,0,"2.9"
"13",2019-08-04,17.3,7.7,4.4,12.9,1,1.0108,0.1,2.8,19.2,4.74358974358975,0,2.4091820386987,95,0,1393,23.15,20.3,26.3,6.125,22.875,7.8,7.7,7.75,0.0999999999999996,7.7,19.6,18.6,21.225,2.775,19.65,0,0,9,"pc.cc",14.692785,13.266905,18.8654025,5.339155,14.43903125,1,"1.7"
"14",2019-09-12,15.1,16.5,3.1,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,21.7,26.7,4.775,23,7.9,7.8,7.975,0.1,7.9,20.9,19.8,21.95,2.125,21,0,0,9,"pc.cc",17.23814,15.2186525,21.44355,6.063785,17.191075,2,"4.4"
"15",2018-06-14,49.1,37.6,NA,NA,3,2.76066666666667,1.95177777777778,32.6666666666667,61.6666666666667,30.393887326877,44.8888888888889,35.9894914928424,241.333333333333,224814.666666667,8412,27.16,24.19,30.41,6.1,27.27,7.84,7.765,7.87,0.0975000000000001,7.845,15.5,13.735,16.93,2.975,15.805,0,0,0,"nd.eos",13.1364375,11.74948,17.910505,5.25642,12.545945,1,"NA"
"16",2018-07-17,95,41,12.4,82.6,3,4.7244,1.6321,45.4,79.5,40.1173454652073,62.7777777777778,29.5439408934918,270,390164.111111111,12640.6666666667,28.67,26.07,31.07,4.8975,28.8625,7.86,7.825,7.88,0.0600000000000005,7.84,17.13,15.295,18.305,3.1,16.9725,0,0,0,"nd.eos",14.5366475,13.2717025,18.42722,5.187545,14.012455,1,"NA"
"17",2018-08-07,114.9,40.7,22.9,92,3,2.3745,1.038,34.1,37.7,39.8030809216384,14.4444444444445,21.7819565021084,206.666666666667,40890.0000000001,5752,29.3675,26.9675,31.215,4.495,29.3725,7.9,7.875,7.92,0.0449999999999999,7.9,18.32,16.5525,19.2375,2.54,18.32125,0,2,2,"nd.eos",15.1210875,13.30571,19.2729,5.613295,14.26716,0,"12.4"
"18",2018-09-11,70.2,36.7,5.2,65,2,1.302,0.7757,13.3,22.8,25.8661521894265,9.11111111111111,22.4336871624661,154.666666666667,11622.8888888889,2372.66666666667,28.9025,27.2625,31.1575,3.78,29.0425,7.81,7.7925,7.85,0.0549999999999997,7.8125,17.56,16.28,18.28,2.1125,17.6825,0,2,2,"nd.eos",14.9089925,13.23772,17.79603,4.2586175,15.19226375,0,"22.9"
