"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","max.daily.sal.lt10","min.daily.sal.gt28","max.daily.ph.gt8"
"1",2018-06-14,49.1,37.6,NA,NA,3,2.76066666666667,1.95177777777778,32.6666666666667,61.6666666666667,30.393887326877,44.8888888888889,35.9894914928424,241.333333333333,224814.666666667,8412,27.16,24.29,30.375,6.035,27.34,7.84,7.77,7.87,0.0950000000000006,7.845,15.46,13.73,16.885,2.875,15.77,0,0,0
"2",2018-07-17,95,41,12.4,82.6,3,4.7244,1.6321,45.4,79.5,40.1173454652073,62.7777777777778,29.5439408934918,270,390164.111111111,12640.6666666667,28.755,26.05,31.08,4.965,28.875,7.85,7.82,7.88,0.0600000000000005,7.84,17.03,15.25,18.09,3.15,16.835,0,0,0
"3",2018-08-07,114.9,40.7,22.9,92,3,2.3745,1.038,34.1,37.7,39.8030809216384,14.4444444444445,21.7819565021084,206.666666666667,40890.0000000001,5752,29.52,27.18,31.62,4.4,29.52,7.89,7.85,7.91,0.0599999999999996,7.88,18.4375,16.74,19.285,2.49,18.47,0,2,2
"4",2018-09-11,70.2,36.7,5.2,65,2,1.302,0.7757,13.3,22.8,25.8661521894265,9.11111111111111,22.4336871624661,154.666666666667,11622.8888888889,2372.66666666667,28.96,27.24,31.185,3.835,29.155,7.82,7.79,7.85,0.0599999999999996,7.815,17.56,16.15,18.3,2.2,17.665,0,2,2
"5",2018-10-10,39.6,36.4,3,36.6,1,2.4681,2.8906,50.3,35.1,59.2180483118082,50.7777777777778,50.787789538915,406,1077686.66666667,28538,29.015,27.95,31.445,3.4,28.975,7.78,7.77,7.8,0.0350000000000001,7.79,17.645,16.15,18.16,1.975,17.65,0,11,11
"6",2018-12-05,18.9,27,5.2,13.7,2.5,1.2685,0.8268,26.6,21.8,43.3237831624044,44.7777777777778,32.4183747533188,356.666666666667,342350.333333333,16447.3333333333,29.495,27.875,31.5825,3.7,29.45375,7.82,7.8,7.835,0.0300000000000002,7.8125,15.47,15.125,16.69,1.1525,16.00875,0,24,24
"7",2019-01-30,21.6,28.3,12.1,9.5,3,1.3712,0.5188,11.1,24.4,31.7066224729917,25.2222222222222,22.3551608172246,412,90319.5555555554,6624.66666666667,27.27,24.295,30.75,5.675,27.215,7.84,7.82,7.88,0.0499999999999998,7.85,12.115,11.61,12.63,0.935,12.035,10,10,10
"8",2019-02-20,18.9,28.9,2.7,16.2,2,2.5303,0.1787,5.8,46.9,16.6411169076892,17,4.75867321259775,163.666666666667,33894.1111111112,3071.33333333333,20.035,14.815,27.84,11.26,18.3025,7.88,7.84,7.92,0.0800000000000001,7.87,11.7875,11.045,12.55,1.005,11.6825,0,0,0
"9",2019-03-15,16.9,28.3,4.6,12.3,3,2.2784,0.5226,21.9,50.7,25.4320695646647,17,14.9970135803785,308,59873.7777777778,7044,9.6,5.64,19.99,13.485,10.2175,7.95,7.845,8.03,0.16,7.95,11.36,11.01,11.855,0.640000000000001,11.22,4,0,0
"10",2019-04-11,23,22.1,7.9,15.1,3,2.0753,0.532,12.4,42.8,16.7804543594634,31.8888888888889,14.7685235421156,323.333333333333,109256,9482.66666666667,12.605,8.275,25.93,16.36,13.0525,8.01,7.94,8.095,0.135000000000001,8.02,13.91,13.47,14.25,0.945,13.865,0,0,0
"11",2019-05-09,38.7,35.7,8.9,29.8,2,2.1057,1.2014,30.7,31.5,41.1868141683967,3.44444444444444,27.821886947093,341.333333333333,61150,19322.6666666667,15.63,10.9625,27.705,15.33,15.46375,8.03,7.955,8.08,0.1,8.02,15.17,12.785,16.1275,3.2925,15.2425,0,0,0
"12",2019-06-09,19.3,21.2,5.2,14.1,3,2.6942,2.9833,64.6,31.3,59.7270538464109,11,45.581258642884,226.666666666667,90213.3333333333,20745.3333333333,19.42,13.925,27.905,13.335,19.69,7.92,7.88,7.96,0.0599999999999996,7.92,15.74,14.21,16.905,3.035,15.735,0,0,0
"13",2019-07-21,20.8,15,2.6,18.2,3,1.6024,2.0675,31.5,13.6,62.1812939888456,25.3333333333333,45.0250637683385,297.333333333333,30833,2492,25.2975,21.01,29.4675,8.215,24.8775,7.825,7.79,7.86,0.100000000000001,7.81,17.4125,15.0775,18.6225,3.4575,17.46875,0,0,0
"14",2019-08-04,19,17.4,2.7,16.3,2,1.8058,1.6752,31.2,16.6,62.9435214882378,14,43.6615832008545,258,73592.8888888888,10223.3333333333,25.6,22.375,28.065,5.785,26.1625,7.52,7.48,7.48,7.48,7.48,18.03,16.22,16.22,16.22,16.22,0,0,0
"15",2019-09-12,17.8,17,1.9,15.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.065,24.47,30.645,6.08,27.285,7.84,7.8025,7.8025,7.8025,7.8025,19.07,16.945,16.945,16.945,16.945,0,0,0
