"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.med.ph","daily.ph.range","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","max.daily.sal.lt10","min.daily.sal.gt28"
"1",2018-06-15,26.4,24.6,NA,NA,2.5,1.502,1.2285,30.2,14,35.3837410427477,38.6666666666666,24.0655707150213,431,456428.666666666,20941,30.941,29.488,31.509,2.045,30.969,NA,NA,NA,NA,NA,13.455,12.81,14.97,1.92,13.49,0,31
"2",2018-07-16,18.7,15.7,4,14.7,3,1.8396,1.19,21.1,20.3,22.0345229555237,30.3333333333333,15.9532401402078,317.333333333333,328095.666666667,16182,31.2675,30.497,31.87375,1.352,31.313125,NA,NA,NA,NA,NA,15.06,14.23,16.0625,1.68,15.0375,0,30
"3",2018-08-06,25.5,22.9,11.2,14.3,4,2.1238,1.3822,22.8,20.2,35.8690476190476,16.1111111111111,23.4401013659695,214,99402.3333333332,10658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"4",2018-09-10,15.6,25,6.8,8.8,1,1.912,0.46775,17.6,26.2,22.0342303777911,44.1111111111111,13.3043601047504,428,419690.666666667,20180,32.1435,31.73,32.3305,0.633500000000002,32.144,NA,NA,NA,NA,NA,16.12,15.655,16.53,0.860000000000003,15.975,0,23
"5",2018-10-09,26.4,37,5.2,21.2,1.5,3.9301,2.3831,32.3,36.9,43.3073361549495,18.4444444444444,33.6924986257733,455.333333333333,130327.444444444,14191.3333333333,32.0425,31.5365,32.25,0.683000000000003,32.042,NA,NA,NA,NA,NA,15.7925,15.36,16.33,0.904999999999998,15.8325,0,29
"6",2018-11-06,12.2,23.9,5.3,6.9,2,3.2271,2.3626,38.9,34,40.3062896102184,41.3333333333333,30.1874951149873,560.666666666667,1135680.88888889,41856.6666666667,30.1965,29.93475,30.359,0.490749999999998,30.28525,NA,NA,NA,NA,NA,15.795,15.47,16.135,0.7275,15.79375,0,28
"7",2018-12-04,7.2,15.9,2.9,4.3,1.5,1.4696,0.6279,9.7,16.5,31.9491457052433,24.5555555555556,23.6954681057379,339.333333333333,14653,1430,29.923,29.827,30.03,0.275000000000002,29.9135,NA,NA,NA,NA,NA,13.745,13.64,13.82,0.315000000000001,13.68,0,23
"8",2019-01-31,23.5,35.7,10.2,13.3,2.5,3.4509,0.414,14.7,56.5,15.442087819201,25.6666666666667,8.25081255588385,416.666666666667,100305.222222222,6694,30.942,30.20825,31.54775,1.32575,30.96725,NA,NA,NA,NA,NA,12.6525,12.2525,12.87,0.46,12.6075,0,40
"9",2019-02-21,19.2,24.7,4.4,14.8,2,2.91133333333333,0.128333333333333,3.66666666666667,25.4444444444444,11.1649893393663,27.2222222222222,4.19968652820139,171.333333333333,29931.7777777778,1412.66666666667,27.219,22.4975,29.378,6.013,27.024,NA,NA,NA,NA,NA,12.3075,11.81,12.605,0.584999999999999,12.125,0,1
"10",2019-03-14,20.2,38.5,7.9,12.3,2,3.4296,0.3972,11.9,41.2,19.8222816022884,45.8888888888889,10.6292897570023,437.333333333333,188142.222222222,8021.33333333333,22.6145,16.051,26.7725,9.6815,23.557,NA,NA,NA,NA,NA,11.93,11.59,12.215,0.565,11.885,0,0
"11",2019-04-09,25.6,37.5,8.9,16.7,2.5,3.4382,1.8509,39.3,53.6,35.3956173380972,49.5555555555556,27.2075260373456,642.666666666667,687422,25658,23.21175,18.289,27.15,8.61525,24.300125,NA,NA,NA,NA,NA,13.485,13.2225,14.21,0.8025,13.4325,0,0
"12",2019-05-08,19.1,44,12.5,6.6,5,3.47822222222222,3.922,91.6666666666667,34.1111111111111,70.9624919718712,54.5555555555556,49.5867870848665,553.333333333333,2036749.33333333,72976,25.138,20.53,29.309,8.5025,25.5765,NA,NA,NA,NA,NA,13.895,12.095,15.095,2.32,13.8825,0,0
"13",2019-06-08,13.1,25,7.7,5.4,5,3.8844,4.6958,98.5,50.2,64.9047310926217,38.6666666666667,52.4393326299934,317.333333333333,655863.555555555,36145.3333333333,27.8265,24.05,29.843,5.95,27.90825,NA,NA,NA,NA,NA,14.4,13.85,15.705,1.955,14.3725,0,1
"14",2019-07-20,12.1,24.5,6.7,5.4,5,5.7831,2.2365,50.7,57.6,37.4603744364035,26.5555555555555,22.5225239547658,324,264993.111111111,24086.6666666667,29.1,26.3,30.6,3.75,29.175,NA,NA,NA,NA,NA,15.05,14.025,16.6,2.4,15,0,7
"15",2019-08-04,13.9,22.3,3.6,10.3,2.5,2.4939,1.3362,32.4,30.2,38.4140472049226,34.6666666666667,25.7233897106093,230.666666666667,333053.333333333,15615.3333333333,27.5,26.3,28,1.8,27.45,NA,NA,NA,NA,NA,16,15.2,17.1,1.8,16.1,0,0
"16",2019-09-12,12.2,15.8,3.3,8.9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,26.6,28,1.3,27.6,NA,NA,NA,NA,NA,16.6,15.9,17.8,1.7,16.5,0,0
