"","date","max.daily.sal","min.daily.sal","daily.med.sal","daily.sal.range","max.daily.do","min.daily.do","daily.med.do","daily.do.range","max.daily.ph","min.daily.ph","daily.med.ph","daily.ph.range","max.daily.wt","min.daily.wt","daily.med.wt","daily.wt.range"
"1",2017-01-01,27.74,17.27,20.815,10.47,8.97,7.73,8.555,1.24,7.85,7.82,7.84,0.0299999999999994,10.75,9.695,9.9725,1.055
"2",2017-01-02,28.07,17.015,22.61,11.055,8.975,7.88,8.495,1.095,7.86,7.82,7.85,0.04,10.73,9.77,10.13,0.960000000000001
"3",2017-01-03,27.92,17.175,22.3875,10.745,9.105,7.875,8.61,1.23,7.855,7.83,7.85,0.0250000000000004,10.715,9.71,10.135,1.005
"4",2017-01-04,28.39,16.54,20.4425,11.85,9.33,8.01,8.81,1.32,7.86,7.84,7.85,0.0200000000000005,10.755,10.045,10.2625,0.710000000000001
"5",2017-01-05,29.615,14.315,17.2525,15.3,9.38,8.095,9.1575,1.285,7.89,7.82,7.85,0.0699999999999994,10.925,9.63,9.99,1.295
"6",2017-01-06,29.32,14.78,16.355,14.54,9.34,8.125,9.165,1.215,7.9,7.82,7.84,0.0800000000000001,10.865,9.445,9.765,1.42
"7",2017-01-07,29.775,14.735,17.1575,15.04,9.49,8.085,9.29,1.405,7.91,7.83,7.85,0.0800000000000001,10.86,9.27,9.565,1.59
"8",2017-01-08,29.575,16.035,21.45,13.54,9.545,8.28,8.88,1.265,7.92,7.86,7.875,0.0599999999999996,10.925,9.465,10.23,1.46
"9",2017-01-09,29.975,16.11,21.245,13.865,9.42,8.36,8.98,1.06,7.94,7.865,7.875,0.0750000000000002,11.255,10.33,10.6175,0.925000000000001
"10",2017-01-10,28.925,12.99,22.25,15.935,9.715,8.5,8.8475,1.215,7.94,7.845,7.9,0.0950000000000006,11.3,10.18,10.88,1.12
"11",2017-01-11,28.26,10.935,15.86,17.325,9.82,8.54,9.43,1.28,7.94,7.86,7.8875,0.0800000000000001,11.42,10.445,10.81,0.975
"12",2017-01-12,26.19,6.185,9.3825,20.005,10.03,8.585,9.805,1.445,7.95,7.8,7.86,0.15,11.415,10.14,10.465,1.275
"13",2017-01-13,22.575,3.435,5.635,19.14,10.04,8.72,9.82,1.32,7.93,7.715,7.77,0.215,11.15,9.92,10.43,1.23
"14",2017-01-14,23.28,2.495,4.6175,20.785,9.745,8.66,9.35,1.085,7.93,7.59,7.6725,0.34,11.25,9.89,10.415,1.36
"15",2017-01-15,23.69,2.11,4.62,21.58,9.42,8.465,9.25,0.955,7.94,7.51,7.625,0.430000000000001,11.305,9.89,10.17,1.415
"16",2017-01-16,22.41,2.1,4.645,20.31,9.375,8.435,9.295,0.94,7.925,7.46,7.58,0.465,11.22,9.655,9.83,1.565
"17",2017-01-17,20.235,2.37,5.24,17.865,9.38,8.465,9.285,0.915000000000001,7.91,7.43,7.555,0.48,11.005,9.61,9.74,1.395
"18",2017-01-18,12.575,2.75,5.83,9.825,9.62,8.955,9.37,0.664999999999999,7.82,7.48,7.5925,0.34,10.205,9.38,9.61,0.824999999999999
"19",2017-01-19,13.79,4.35,9.935,9.44,9.795,8.88,9.405,0.914999999999999,7.83,7.58,7.76,0.25,10.33,9.56,9.93,0.77
"20",2017-01-20,24.905,4.48,7.145,20.425,9.96,8.335,9.54,1.625,7.95,7.58,7.68,0.37,11.26,9.56,9.88,1.7
"21",2017-01-21,12.11,3.91,5.94,8.2,9.99,9.14,9.64,0.85,7.8,7.63,7.6825,0.17,10.17,9.43,9.715,0.74
