"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","max.daily.sal.lt10","min.daily.sal.gt28","max.daily.ph.gt8"
"1",2018-06-14,49.1,37.6,NA,NA,3,2.76066666666667,1.95177777777778,32.6666666666667,61.6666666666667,30.393887326877,44.8888888888889,35.9894914928424,241.333333333333,224814.666666667,8412,27.16,24.19,30.41,6.1,27.27,7.84,7.765,7.87,0.0975000000000001,7.845,15.5,13.735,16.93,2.975,15.805,0,0,0
"2",2018-07-17,95,41,12.4,82.6,3,4.7244,1.6321,45.4,79.5,40.1173454652073,62.7777777777778,29.5439408934918,270,390164.111111111,12640.6666666667,28.67,26.07,31.07,4.8975,28.8625,7.86,7.825,7.88,0.0600000000000005,7.84,17.13,15.295,18.305,3.1,16.9725,0,0,0
"3",2018-08-07,114.9,40.7,22.9,92,3,2.3745,1.038,34.1,37.7,39.8030809216384,14.4444444444445,21.7819565021084,206.666666666667,40890.0000000001,5752,29.3675,26.9675,31.215,4.495,29.3725,7.9,7.875,7.92,0.0449999999999999,7.9,18.32,16.5525,19.2375,2.54,18.32125,0,2,2
"4",2018-09-11,70.2,36.7,5.2,65,2,1.302,0.7757,13.3,22.8,25.8661521894265,9.11111111111111,22.4336871624661,154.666666666667,11622.8888888889,2372.66666666667,28.9025,27.2625,31.1575,3.78,29.0425,7.81,7.7925,7.85,0.0549999999999997,7.8125,17.56,16.28,18.28,2.1125,17.6825,0,2,2
"5",2018-10-10,39.6,36.4,3,36.6,1,2.4681,2.8906,50.3,35.1,59.2180483118082,50.7777777777778,50.787789538915,406,1077686.66666667,28538,29.015,27.965,31.45,3.585,28.9825,7.785,7.77,7.8,0.0375000000000001,7.79,17.6525,16.155,18.165,2.01,17.65,0,12,12
"6",2018-12-05,18.9,27,5.2,13.7,2.5,1.2685,0.8268,26.6,21.8,43.3237831624044,44.7777777777778,32.4183747533188,356.666666666667,342350.333333333,16447.3333333333,29.82,27.805,31.515,3.9225,29.76125,7.8,7.785,7.82,0.04,7.805,13.75,13.4875,13.95,0.5375,13.6825,0,11,11
"7",2019-01-30,21.6,28.3,12.1,9.5,3,1.3712,0.5188,11.1,24.4,31.7066224729917,25.2222222222222,22.3551608172246,412,90319.5555555554,6624.66666666667,26.455,22.325,29.385,7.215,25.2075,7.865,7.82,7.91,0.04,7.87,11.775,11.46,12.23,0.98,11.785,0,0,0
"8",2019-02-20,18.9,28.9,2.7,16.2,2,2.5303,0.1787,5.8,46.9,16.6411169076892,17,4.75867321259775,163.666666666667,33894.1111111112,3071.33333333333,20.035,14.35,28.255,12.4825,18.32625,7.88,7.83,7.93,0.0999999999999996,7.88,11.97,11.525,12.555,0.9925,11.9225,0,0,0
"9",2019-03-15,16.9,28.3,4.6,12.3,3,2.2784,0.5226,21.9,50.7,25.4320695646647,17,14.9970135803785,308,59873.7777777778,7044,10.87,6.5875,23.0875,13.4575,11.1925,7.95,7.8625,8.02,0.152499999999999,7.95,11.2975,10.8425,11.84,0.78,11.205,4,0,0
"10",2019-04-11,23,22.1,7.9,15.1,3,2.0753,0.532,12.4,42.8,16.7804543594634,31.8888888888889,14.7685235421156,323.333333333333,109256,9482.66666666667,12.0625,8.075,25.74,15.5075,12.77,8,7.93,8.085,0.135000000000001,8.01,13.805,13.2175,14.075,0.8875,13.69,3,0,0
"11",2019-05-09,38.7,35.7,8.9,29.8,2,2.1057,1.2014,30.7,31.5,41.1868141683967,3.44444444444444,27.821886947093,341.333333333333,61150,19322.6666666667,15.445,10.75,27.6325,15.78,15.2325,8.03,7.96,8.085,0.1025,8.03,15.1825,12.95,16.1075,3.2,15.2425,0,0,0
"12",2019-06-09,19.3,21.2,5.2,14.1,3,2.6942,2.9833,64.6,31.3,59.7270538464109,11,45.581258642884,226.666666666667,90213.3333333333,20745.3333333333,19.365,13.915,27.8125,13.415,19.685,7.92,7.8775,7.96,0.0549999999999997,7.92,15.745,14.2125,16.9325,3.0825,15.7425,0,0,0
"13",2019-07-21,20.8,15,2.6,18.2,3,1.6024,2.0675,31.5,13.6,62.1812939888456,25.3333333333333,45.0250637683385,297.333333333333,30833,2492,25.815,22.2125,29.8075,7.6925,25.745,7.92,7.56,7.92,0.124999999999999,7.81,17.55,15.2925,18.6525,3.27,17.49375,0,0,0
"14",2019-08-04,19,17.4,2.7,16.3,2,1.8058,1.6752,31.2,16.6,62.9435214882378,14,43.6615832008545,258,73592.8888888888,10223.3333333333,26.16,22.68,29.9175,6.3325,26.36125,7.47,7.41,7.41,7.41,7.41,17.68,15.4875,15.4875,15.4875,15.4875,0,0,0
"15",2019-09-12,17.8,17,1.9,15.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2775,24.595,30.76,6.2775,27.345,7.84,7.825,7.825,7.825,7.825,19.31,17.3575,17.3575,17.3575,17.3575,0,0,0
