"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.med.ph","daily.ph.range","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","max.daily.sal.lt10","min.daily.sal.gt28"
"1",2018-06-15,26.4,24.6,NA,NA,2.5,1.502,1.2285,30.2,14,35.3837410427477,38.6666666666666,24.0655707150213,431,456428.666666666,20941,30.954,29.4915,31.51475,2.0395,30.969875,NA,NA,NA,NA,NA,13.465,12.815,14.975,2.0375,13.4925,0,30
"2",2018-07-16,18.7,15.7,4,14.7,3,1.8396,1.19,21.1,20.3,22.0345229555237,30.3333333333333,15.9532401402078,317.333333333333,328095.666666667,16182,31.303,30.5585,31.895,1.35,31.32325,NA,NA,NA,NA,NA,15.085,14.28,16.1,1.675,15.055,0,29
"3",2018-08-06,25.5,22.9,11.2,14.3,4,2.1238,1.3822,22.8,20.2,35.8690476190476,16.1111111111111,23.4401013659695,214,99402.3333333332,10658,31.55975,30.7705,32.0435,1.315,31.492875,NA,NA,NA,NA,NA,16.06,15.3825,16.96,1.5725,16.06625,0,8
"4",2018-09-10,15.6,25,6.8,8.8,1,1.912,0.46775,17.6,26.2,22.0342303777911,44.1111111111111,13.3043601047504,428,419690.666666667,20180,32.1435,31.73,32.3305,0.633500000000002,32.144,NA,NA,NA,NA,NA,16.12,15.655,16.53,0.860000000000003,15.975,0,23
"5",2018-10-09,26.4,37,5.2,21.2,1.5,3.9301,2.3831,32.3,36.9,43.3073361549495,18.4444444444444,33.6924986257733,455.333333333333,130327.444444444,14191.3333333333,32.04275,31.53525,32.2435,0.665250000000002,32.044,NA,NA,NA,NA,NA,15.8375,15.37,16.3375,0.894999999999998,15.84375,0,30
"6",2018-11-06,12.2,23.9,5.3,6.9,2,3.2271,2.3626,38.9,34,40.3062896102184,41.3333333333333,30.1874951149873,560.666666666667,1135680.88888889,41856.6666666667,30.2495,29.946,30.5075,0.480249999999998,30.378125,NA,NA,NA,NA,NA,15.8,15.48,16.1675,0.72,15.7975,0,30
"7",2018-12-04,7.2,15.9,2.9,4.3,1.5,1.4696,0.6279,9.7,16.5,31.9491457052433,24.5555555555556,23.6954681057379,339.333333333333,14653,1430,29.9,29.8025,30,0.275000000000002,29.89,NA,NA,NA,NA,NA,13.7975,13.73,13.875,0.32,13.825,0,25
"8",2019-01-31,23.5,35.7,10.2,13.3,2.5,3.4509,0.414,14.7,56.5,15.442087819201,25.6666666666667,8.25081255588385,416.666666666667,100305.222222222,6694,30.372,29.0315,31.359,2.53775,30.679875,NA,NA,NA,NA,NA,12.22,12.1525,12.5625,0.534999999999999,12.2925,0,20
"9",2019-02-21,19.2,24.7,4.4,14.8,2,2.91133333333333,0.128333333333333,3.66666666666667,25.4444444444444,11.1649893393663,27.2222222222222,4.19968652820139,171.333333333333,29931.7777777778,1412.66666666667,27.9665,24.69875,29.70175,4.989,28.4055,NA,NA,NA,NA,NA,12.495,12.22,12.785,0.5675,12.53,0,2
"10",2019-03-14,20.2,38.5,7.9,12.3,2,3.4296,0.3972,11.9,41.2,19.8222816022884,45.8888888888889,10.6292897570023,437.333333333333,188142.222222222,8021.33333333333,23.856,18.99675,27.65475,9.11375,24.5105,NA,NA,NA,NA,NA,11.91,11.5425,12.2975,0.6225,11.92875,0,0
"11",2019-04-09,25.6,37.5,8.9,16.7,2.5,3.4382,1.8509,39.3,53.6,35.3956173380972,49.5555555555556,27.2075260373456,642.666666666667,687422,25658,22.26475,17.503,26.98225,8.93675,24.0705,NA,NA,NA,NA,NA,13.31,13.0125,13.6825,0.6525,13.2875,0,0
"12",2019-05-08,19.1,44,12.5,6.6,5,3.47822222222222,3.922,91.6666666666667,34.1111111111111,70.9624919718712,54.5555555555556,49.5867870848665,553.333333333333,2036749.33333333,72976,24.983,20.46275,29.29975,8.70975,25.575,NA,NA,NA,NA,NA,13.93,12.1525,15.1,2.305,13.89125,0,0
"13",2019-06-08,13.1,25,7.7,5.4,5,3.8844,4.6958,98.5,50.2,64.9047310926217,38.6666666666667,52.4393326299934,317.333333333333,655863.555555555,36145.3333333333,27.823,24.1,29.8405,5.836,27.904125,NA,NA,NA,NA,NA,14.4,13.865,15.7725,1.9725,14.39,0,1
"14",2019-07-20,12.1,24.5,6.7,5.4,5,5.7831,2.2365,50.7,57.6,37.4603744364035,26.5555555555555,22.5225239547658,324,264993.111111111,24086.6666666667,29.2,27.15,30.75,2.9,29.4,NA,NA,NA,NA,NA,15.2,14.25,16.75,2.4,15.075,0,7
"15",2019-08-04,13.9,22.3,3.6,10.3,2.5,2.4939,1.3362,32.4,30.2,38.4140472049226,34.6666666666667,25.7233897106093,230.666666666667,333053.333333333,15615.3333333333,27.7,26.35,28.2,1.9,27.575,NA,NA,NA,NA,NA,15.3,14.3,16.6,2,15.0625,0,7
"16",2019-09-12,12.2,15.8,3.3,8.9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,26.575,28.05,1.375,27.575,NA,NA,NA,NA,NA,16.8,16.25,17.975,1.7,16.8,0,0
