"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","max.daily.sal.lt10","min.daily.sal.gt28","max.daily.ph.gt8"
"1",2018-06-14,49.1,37.6,NA,NA,3,2.76066666666667,1.95177777777778,32.6666666666667,61.6666666666667,30.393887326877,44.8888888888889,35.9894914928424,241.333333333333,224814.666666667,8412,26.62,22.3975,30.02,7.5275,26.5575,7.86,7.8,7.92,0.109999999999999,7.86,14.7225,13.2925,16.2675,2.87,14.6875,0,0,0
"2",2018-07-17,95,41,12.4,82.6,3,4.7244,1.6321,45.4,79.5,40.1173454652073,62.7777777777778,29.5439408934918,270,390164.111111111,12640.6666666667,28.1,25.3925,30.895,5.505,27.75375,7.84,7.8,7.8725,0.0774999999999997,7.84,16.3175,14.1075,17.8875,3.1275,16.3375,0,0,0
"3",2018-08-07,114.9,40.7,22.9,92,3,2.3745,1.038,34.1,37.7,39.8030809216384,14.4444444444445,21.7819565021084,206.666666666667,40890.0000000001,5752,29.035,26.3075,31.1325,4.7,29.145,7.87,7.83,7.9,0.0625,7.86,17.51,15.985,18.8075,2.8875,17.8725,0,2,2
"4",2018-09-11,70.2,36.7,5.2,65,2,1.302,0.7757,13.3,22.8,25.8661521894265,9.11111111111111,22.4336871624661,154.666666666667,11622.8888888889,2372.66666666667,29.155,27.185,31.22,4.005,29.25125,7.8425,7.82,7.8875,0.0574999999999997,7.84875,17.89,16.3125,18.695,2.3875,17.99375,0,4,4
"5",2018-10-10,39.6,36.4,3,36.6,1,2.4681,2.8906,50.3,35.1,59.2180483118082,50.7777777777778,50.787789538915,406,1077686.66666667,28538,28.985,27.5175,31.3175,3.76,29.03875,7.8,7.7725,7.82,0.04,7.8,17.6125,16.16,18.2125,2.0475,17.655,0,13,13
"6",2018-12-05,18.9,27,5.2,13.7,2.5,1.2685,0.8268,26.6,21.8,43.3237831624044,44.7777777777778,32.4183747533188,356.666666666667,342350.333333333,16447.3333333333,29.415,27.875,31.5725,3.7,29.405,7.81,7.79,7.835,0.0350000000000001,7.81,15.885,15.2075,16.875,1.175,16.4,0,24,24
"7",2019-01-30,21.6,28.3,12.1,9.5,3,1.3712,0.5188,11.1,24.4,31.7066224729917,25.2222222222222,22.3551608172246,412,90319.5555555554,6624.66666666667,27.4075,24.82,30.82,5.655,27.975,7.84,7.81,7.875,0.0500000000000007,7.85,12.2475,11.77,12.695,0.9,12.1,10,10,10
"8",2019-02-20,18.9,28.9,2.7,16.2,2,2.5303,0.1787,5.8,46.9,16.6411169076892,17,4.75867321259775,163.666666666667,33894.1111111112,3071.33333333333,24.545,19.0375,28.86,8.56,24.4275,7.86,7.82,7.89,0.0699999999999994,7.865,11.81,11.4725,12.4775,0.98,11.84,5,5,5
"9",2019-03-15,16.9,28.3,4.6,12.3,3,2.2784,0.5226,21.9,50.7,25.4320695646647,17,14.9970135803785,308,59873.7777777778,7044,17.5,11.99,27.26,11.26,17.18,7.91,7.84,7.97,0.119999999999999,7.8975,11.67,11.28,11.99,0.809999999999999,11.6825,4,0,0
"10",2019-04-11,23,22.1,7.9,15.1,3,2.0753,0.532,12.4,42.8,16.7804543594634,31.8888888888889,14.7685235421156,323.333333333333,109256,9482.66666666667,12.1575,7.84,25.5275,14.85,12.5225,7.97,7.89,8.03,0.1375,7.96625,11.885,11.4425,12.1775,0.8325,11.82875,4,0,0
"11",2019-05-09,38.7,35.7,8.9,29.8,2,2.1057,1.2014,30.7,31.5,41.1868141683967,3.44444444444444,27.821886947093,341.333333333333,61150,19322.6666666667,13.2,9.39,26.28,15.275,13.44875,8.01,7.9425,8.08,0.1275,8.02,14.28,13.1425,15.5025,1.2625,14.5125,4,0,0
"12",2019-06-09,19.3,21.2,5.2,14.1,3,2.6942,2.9833,64.6,31.3,59.7270538464109,11,45.581258642884,226.666666666667,90213.3333333333,20745.3333333333,17.995,13.065,27.7275,13.9575,18.6525,7.97,7.9325,8.0075,0.0799999999999996,7.98,15.42,13.9375,16.3725,3.16,15.485,0,0,0
"13",2019-07-21,20.8,15,2.6,18.2,3,1.6024,2.0675,31.5,13.6,62.1812939888456,25.3333333333333,45.0250637683385,297.333333333333,30833,2492,23.9725,18.13,29.305,9.2775,23.525,7.86,7.82,7.89,0.0800000000000001,7.86,16.9175,14.85,18.435,3.4275,17.26125,0,0,0
"14",2019-08-04,19,17.4,2.7,16.3,2,1.8058,1.6752,31.2,16.6,62.9435214882378,14,43.6615832008545,258,73592.8888888888,10223.3333333333,25.275,21.215,29.36,7.8575,25.02375,7.79,7.71,7.71,7.71,7.71,17.55,15.2325,15.2325,15.2325,15.2325,0,0,0
"15",2019-09-12,17.8,17,1.9,15.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.83,24.045,30.32,6.085,26.9,7.8,7.75,7.75,7.75,7.75,18.54,16.57,16.57,16.57,16.57,0,0,0
