"","datetime","X","date","water_temp","F_temp","month_yr","Station","TideHeight"
"1",2017-01-01 00:00:00,1,"2017-01-01",11,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.18910412506247
"3",2017-01-01 01:00:00,2,"2017-01-01",10.97,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.4435065446185
"5",2017-01-01 02:00:00,3,"2017-01-01",10.79,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.56346983295172
"9",2017-01-01 04:00:00,5,"2017-01-01",10.64,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.35833706244023
"11",2017-01-01 05:00:00,6,"2017-01-01",10.585,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.14602612638474
"19",2017-01-01 09:00:00,10,"2017-01-01",10.78,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.12062905683966
"21",2017-01-01 10:00:00,11,"2017-01-01",10.89,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.32369453339172
"23",2017-01-01 11:00:00,12,"2017-01-01",10.9,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.54094808169836
"25",2017-01-01 12:00:00,13,"2017-01-01",10.785,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.72141911477909
"27",2017-01-01 13:00:00,14,"2017-01-01",10.735,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.79880583219426
"29",2017-01-01 14:00:00,15,"2017-01-01",10.63,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.70821134505635
"31",2017-01-01 15:00:00,16,"2017-01-01",10.79,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.42322193399455
"49",2017-01-02 00:00:00,25,"2017-01-02",11.015,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.02060051703699
"53",2017-01-02 02:00:00,27,"2017-01-02",10.82,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53830696645527
"55",2017-01-02 03:00:00,28,"2017-01-02",10.695,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.60151494227518
"57",2017-01-02 04:00:00,29,"2017-01-02",10.62,1,"2017-01","North Point, Pier 41, San Francisco, San Francisco Bay, California",1.50944483550473
