"","datetime","date","do","month_yr"
"1",2017-01-01 00:00:00,2017-01-01,9.4,"2017-01"
"2",2017-01-01 01:00:00,2017-01-01,9.25,"2017-01"
"3",2017-01-01 02:00:00,2017-01-01,9.1,"2017-01"
"4",2017-01-01 03:00:00,2017-01-01,9.05,"2017-01"
"5",2017-01-01 04:00:00,2017-01-01,9,"2017-01"
"6",2017-01-01 05:00:00,2017-01-01,9.65,"2017-01"
"7",2017-01-01 06:00:00,2017-01-01,9.7,"2017-01"
"8",2017-01-01 07:00:00,2017-01-01,9.9,"2017-01"
"9",2017-01-01 08:00:00,2017-01-01,9.8,"2017-01"
"10",2017-01-01 09:00:00,2017-01-01,9.75,"2017-01"
"11",2017-01-01 10:00:00,2017-01-01,9.85,"2017-01"
"12",NA,NA,NA,NA
"13",2017-01-01 12:00:00,2017-01-01,8.9,"2017-01"
"14",2017-01-01 13:00:00,2017-01-01,8.8,"2017-01"
"15",2017-01-01 14:00:00,2017-01-01,8.7,"2017-01"
"16",NA,NA,NA,NA
"17",2017-01-01 16:00:00,2017-01-01,9.9,"2017-01"
"18",2017-01-01 17:00:00,2017-01-01,10,"2017-01"
"19",2017-01-01 18:00:00,2017-01-01,10.05,"2017-01"
"20",2017-01-01 19:00:00,2017-01-01,10,"2017-01"
"21",2017-01-01 20:00:00,2017-01-01,9.9,"2017-01"
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",2017-01-02 00:00:00,2017-01-02,9.85,"2017-01"
"26",2017-01-02 01:00:00,2017-01-02,9.5,"2017-01"
"27",2017-01-02 02:00:00,2017-01-02,9.25,"2017-01"
"28",2017-01-02 03:00:00,2017-01-02,9,"2017-01"
"29",2017-01-02 04:00:00,2017-01-02,9,"2017-01"
"30",2017-01-02 05:00:00,2017-01-02,9.1,"2017-01"
"31",2017-01-02 06:00:00,2017-01-02,9.2,"2017-01"
"32",2017-01-02 07:00:00,2017-01-02,9.4,"2017-01"
"33",2017-01-02 08:00:00,2017-01-02,9.7,"2017-01"
"34",2017-01-02 09:00:00,2017-01-02,9.7,"2017-01"
"35",2017-01-02 10:00:00,2017-01-02,9.7,"2017-01"
"36",2017-01-02 11:00:00,2017-01-02,9.7,"2017-01"
"37",NA,NA,NA,NA
"38",NA,NA,NA,NA
"39",2017-01-02 14:00:00,2017-01-02,8.85,"2017-01"
"40",2017-01-02 15:00:00,2017-01-02,8.7,"2017-01"
"41",2017-01-02 16:00:00,2017-01-02,8.7,"2017-01"
"42",NA,NA,NA,NA
"43",2017-01-02 18:00:00,2017-01-02,10,"2017-01"
"44",2017-01-02 19:00:00,2017-01-02,9.9,"2017-01"
"45",2017-01-02 20:00:00,2017-01-02,9.85,"2017-01"
"46",2017-01-02 21:00:00,2017-01-02,9.8,"2017-01"
"47",2017-01-02 22:00:00,2017-01-02,9.9,"2017-01"
"48",2017-01-02 23:00:00,2017-01-02,10,"2017-01"
"49",2017-01-03 00:00:00,2017-01-03,9.95,"2017-01"
"50",2017-01-03 01:00:00,2017-01-03,9.8,"2017-01"
"51",NA,NA,NA,NA
"52",2017-01-03 03:00:00,2017-01-03,9.3,"2017-01"
"53",2017-01-03 04:00:00,2017-01-03,9.3,"2017-01"
"54",2017-01-03 05:00:00,2017-01-03,9.2,"2017-01"
"55",2017-01-03 06:00:00,2017-01-03,9.3,"2017-01"
"56",2017-01-03 07:00:00,2017-01-03,9.65,"2017-01"
"57",2017-01-03 08:00:00,2017-01-03,9.8,"2017-01"
"58",2017-01-03 09:00:00,2017-01-03,9.8,"2017-01"
"59",2017-01-03 10:00:00,2017-01-03,9.85,"2017-01"
"60",2017-01-03 11:00:00,2017-01-03,9.85,"2017-01"
"61",2017-01-03 12:00:00,2017-01-03,9.9,"2017-01"
"62",2017-01-03 13:00:00,2017-01-03,9.7,"2017-01"
"63",NA,NA,NA,NA
"64",2017-01-03 15:00:00,2017-01-03,8.9,"2017-01"
"65",2017-01-03 16:00:00,2017-01-03,8.95,"2017-01"
"66",2017-01-03 17:00:00,2017-01-03,9.15,"2017-01"
"67",NA,NA,NA,NA
"68",2017-01-03 19:00:00,2017-01-03,9.95,"2017-01"
"69",2017-01-03 20:00:00,2017-01-03,10,"2017-01"
"70",2017-01-03 21:00:00,2017-01-03,10,"2017-01"
"71",2017-01-03 22:00:00,2017-01-03,10.1,"2017-01"
"72",2017-01-03 23:00:00,2017-01-03,10.05,"2017-01"
"73",2017-01-04 00:00:00,2017-01-04,9.95,"2017-01"
"74",2017-01-04 01:00:00,2017-01-04,9.7,"2017-01"
"75",2017-01-04 02:00:00,2017-01-04,9.6,"2017-01"
"76",2017-01-04 03:00:00,2017-01-04,9.5,"2017-01"
"77",2017-01-04 04:00:00,2017-01-04,9.5,"2017-01"
"78",2017-01-04 05:00:00,2017-01-04,9.25,"2017-01"
"79",2017-01-04 06:00:00,2017-01-04,9.2,"2017-01"
"80",2017-01-04 07:00:00,2017-01-04,9.5,"2017-01"
"81",2017-01-04 08:00:00,2017-01-04,9.5,"2017-01"
"82",2017-01-04 09:00:00,2017-01-04,9.55,"2017-01"
"83",2017-01-04 10:00:00,2017-01-04,9.6,"2017-01"
"84",2017-01-04 11:00:00,2017-01-04,9.55,"2017-01"
"85",2017-01-04 12:00:00,2017-01-04,9.8,"2017-01"
"86",2017-01-04 13:00:00,2017-01-04,9.7,"2017-01"
"87",2017-01-04 14:00:00,2017-01-04,9.7,"2017-01"
"88",2017-01-04 15:00:00,2017-01-04,9.85,"2017-01"
"89",2017-01-04 16:00:00,2017-01-04,9.75,"2017-01"
"90",2017-01-04 17:00:00,2017-01-04,9.5,"2017-01"
"91",2017-01-04 18:00:00,2017-01-04,9.8,"2017-01"
"92",2017-01-04 19:00:00,2017-01-04,9.8,"2017-01"
"93",2017-01-04 20:00:00,2017-01-04,9.7,"2017-01"
"94",2017-01-04 21:00:00,2017-01-04,9.6,"2017-01"
"95",2017-01-04 22:00:00,2017-01-04,9.6,"2017-01"
"96",2017-01-04 23:00:00,2017-01-04,9.45,"2017-01"
"97",2017-01-05 00:00:00,2017-01-05,9.6,"2017-01"
"98",2017-01-05 01:00:00,2017-01-05,9.75,"2017-01"
"99",2017-01-05 02:00:00,2017-01-05,9.65,"2017-01"
"100",2017-01-05 03:00:00,2017-01-05,9.6,"2017-01"
"101",2017-01-05 04:00:00,2017-01-05,9.45,"2017-01"
"102",2017-01-05 05:00:00,2017-01-05,9,"2017-01"
"103",2017-01-05 06:00:00,2017-01-05,8.9,"2017-01"
"104",2017-01-05 07:00:00,2017-01-05,8.85,"2017-01"
"105",2017-01-05 08:00:00,2017-01-05,8.9,"2017-01"
"106",NA,NA,NA,NA
"107",2017-01-05 10:00:00,2017-01-05,9.7,"2017-01"
"108",2017-01-05 11:00:00,2017-01-05,9.8,"2017-01"
"109",2017-01-05 12:00:00,2017-01-05,9.75,"2017-01"
"110",2017-01-05 13:00:00,2017-01-05,9.8,"2017-01"
"111",2017-01-05 14:00:00,2017-01-05,9.8,"2017-01"
"112",2017-01-05 15:00:00,2017-01-05,9.8,"2017-01"
"113",2017-01-05 16:00:00,2017-01-05,9.8,"2017-01"
"114",2017-01-05 17:00:00,2017-01-05,9.8,"2017-01"
"115",2017-01-05 18:00:00,2017-01-05,9.9,"2017-01"
"116",2017-01-05 19:00:00,2017-01-05,9.8,"2017-01"
"117",2017-01-05 20:00:00,2017-01-05,9.8,"2017-01"
"118",2017-01-05 21:00:00,2017-01-05,9.7,"2017-01"
"119",2017-01-05 22:00:00,2017-01-05,9.6,"2017-01"
"120",2017-01-05 23:00:00,2017-01-05,9.5,"2017-01"
"121",2017-01-06 00:00:00,2017-01-06,9.5,"2017-01"
"122",2017-01-06 01:00:00,2017-01-06,9.6,"2017-01"
"123",2017-01-06 02:00:00,2017-01-06,9.7,"2017-01"
"124",2017-01-06 03:00:00,2017-01-06,9.7,"2017-01"
"125",2017-01-06 04:00:00,2017-01-06,9.6,"2017-01"
"126",NA,NA,NA,NA
"127",2017-01-06 06:00:00,2017-01-06,8.6,"2017-01"
"128",2017-01-06 07:00:00,2017-01-06,8.6,"2017-01"
"129",2017-01-06 08:00:00,2017-01-06,8.9,"2017-01"
"130",NA,NA,NA,NA
"131",2017-01-06 10:00:00,2017-01-06,9.7,"2017-01"
"132",2017-01-06 11:00:00,2017-01-06,9.75,"2017-01"
"133",2017-01-06 12:00:00,2017-01-06,9.8,"2017-01"
