"","datetime","date","ph"
"1",2017-01-01 02:00:00,2017-01-01,7.7
"2",2017-01-01 03:00:00,2017-01-01,7.7
"3",2017-01-01 04:00:00,2017-01-01,7.7
"4",2017-01-01 05:00:00,NA,NA
"5",2017-01-01 06:00:00,NA,NA
"6",2017-01-01 07:00:00,NA,NA
"7",2017-01-01 08:00:00,NA,NA
"8",2017-01-01 09:00:00,NA,NA
"9",2017-01-01 10:00:00,NA,NA
"10",2017-01-01 11:00:00,NA,NA
"11",2017-01-01 12:00:00,NA,NA
"12",2017-01-01 13:00:00,NA,NA
"13",2017-01-01 14:00:00,2017-01-01,7.7
"14",2017-01-01 15:00:00,2017-01-01,7.7
"15",2017-01-01 16:00:00,NA,NA
"16",2017-01-01 17:00:00,NA,NA
"17",2017-01-01 18:00:00,NA,NA
"18",2017-01-01 19:00:00,NA,NA
"19",2017-01-01 20:00:00,NA,NA
"20",2017-01-01 21:00:00,NA,NA
"21",2017-01-01 22:00:00,NA,NA
"22",2017-01-01 23:00:00,NA,NA
"23",2017-01-02 00:00:00,NA,NA
"24",2017-01-02 01:00:00,2017-01-02,7.7
"25",2017-01-02 02:00:00,2017-01-02,7.7
"26",2017-01-02 03:00:00,NA,NA
"27",2017-01-02 04:00:00,2017-01-02,7.8
"28",2017-01-02 05:00:00,2017-01-02,7.8
"29",2017-01-02 06:00:00,2017-01-02,7.7
"30",2017-01-02 07:00:00,2017-01-02,7.7
"31",2017-01-02 08:00:00,2017-01-02,7.7
"32",2017-01-02 09:00:00,2017-01-02,7.7
"33",2017-01-02 10:00:00,NA,NA
"34",2017-01-02 11:00:00,2017-01-02,7.7
"35",2017-01-02 12:00:00,2017-01-02,7.7
"36",2017-01-02 13:00:00,2017-01-02,7.7
"37",2017-01-02 14:00:00,2017-01-02,7.7
"38",2017-01-02 15:00:00,NA,NA
"39",2017-01-02 16:00:00,NA,NA
"40",2017-01-02 17:00:00,2017-01-02,7.8
"41",2017-01-02 18:00:00,2017-01-02,7.8
"42",2017-01-02 19:00:00,NA,NA
"43",2017-01-02 20:00:00,NA,NA
"44",2017-01-02 21:00:00,NA,NA
"45",2017-01-02 22:00:00,NA,NA
"46",2017-01-02 23:00:00,NA,NA
"47",2017-01-03 00:00:00,NA,NA
"48",2017-01-03 01:00:00,NA,NA
"49",2017-01-03 02:00:00,2017-01-03,7.8
"50",2017-01-03 03:00:00,2017-01-03,7.8
"51",2017-01-03 04:00:00,2017-01-03,7.8
"52",2017-01-03 05:00:00,NA,NA
"53",2017-01-03 06:00:00,2017-01-03,7.8
"54",2017-01-03 07:00:00,2017-01-03,7.8
"55",2017-01-03 08:00:00,2017-01-03,7.8
"56",2017-01-03 09:00:00,2017-01-03,7.7
"57",2017-01-03 10:00:00,2017-01-03,7.7
"58",2017-01-03 11:00:00,2017-01-03,7.7
"59",2017-01-03 12:00:00,2017-01-03,7.8
"60",2017-01-03 13:00:00,2017-01-03,7.7
