"","datetime","date","air_temperature","air_temperature_qc_agg","air_temperature_qc_tests"
"1",2017-01-01 00:00:00,2017-01-01,8.928783,1,NA
"2",2017-01-01 01:00:00,2017-01-01,8.9300555,1,NA
"3",2017-01-01 02:00:00,2017-01-01,8.446251,1,NA
"4",2017-01-01 03:00:00,2017-01-01,8.41194,1,NA
"5",2017-01-01 04:00:00,2017-01-01,8.862087,1,NA
"6",2017-01-01 05:00:00,2017-01-01,8.989933,1,NA
"7",2017-01-01 06:00:00,2017-01-01,8.938717,1,NA
"8",2017-01-01 07:00:00,2017-01-01,9.273611,1,NA
"9",2017-01-01 08:00:00,2017-01-01,9.074562,1,NA
"10",2017-01-01 09:00:00,2017-01-01,7.68475,1,NA
"11",2017-01-01 10:00:00,2017-01-01,7.5629425,1,NA
"12",2017-01-01 11:00:00,2017-01-01,7.483744,1,NA
"13",2017-01-01 12:00:00,2017-01-01,7.350082,1,NA
"14",2017-01-01 13:00:00,2017-01-01,7.1547375,1,NA
"15",2017-01-01 14:00:00,2017-01-01,7.044325,1,NA
"16",2017-01-01 15:00:00,2017-01-01,6.9424055,1,NA
"17",2017-01-01 16:00:00,2017-01-01,8.281483,1,NA
"18",2017-01-01 17:00:00,2017-01-01,8.0474245,1,NA
"19",2017-01-01 18:00:00,2017-01-01,8.1583175,1,NA
"20",2017-01-01 19:00:00,2017-01-01,9.13394,1,NA
"21",2017-01-01 20:00:00,2017-01-01,10.268765,1,NA
"22",2017-01-01 21:00:00,NA,NA,NA,NA
"23",2017-01-01 22:00:00,NA,NA,NA,NA
"24",2017-01-01 23:00:00,NA,NA,NA,NA
"25",2017-01-02 00:00:00,2017-01-02,9.9059125,1,NA
"26",2017-01-02 01:00:00,2017-01-02,8.944183,1,NA
"27",2017-01-02 02:00:00,2017-01-02,8.581953,1,NA
"28",2017-01-02 03:00:00,2017-01-02,8.577097,1,NA
"29",2017-01-02 04:00:00,2017-01-02,8.3877525,1,NA
"30",2017-01-02 05:00:00,2017-01-02,7.673229,1,NA
"31",2017-01-02 06:00:00,2017-01-02,8.0213945,1,NA
"32",2017-01-02 07:00:00,2017-01-02,7.7156865,1,NA
"33",2017-01-02 08:00:00,2017-01-02,7.299587,1,NA
"34",2017-01-02 09:00:00,2017-01-02,6.730068,1,NA
"35",2017-01-02 10:00:00,2017-01-02,6.881859,1,NA
"36",2017-01-02 11:00:00,2017-01-02,6.504101,1,NA
"37",2017-01-02 12:00:00,2017-01-02,5.880743,1,NA
"38",2017-01-02 13:00:00,2017-01-02,5.897732,1,NA
"39",2017-01-02 14:00:00,2017-01-02,6.067722,1,NA
"40",2017-01-02 15:00:00,2017-01-02,6.101614,1,NA
"41",2017-01-02 16:00:00,2017-01-02,6.441797,1,NA
"42",2017-01-02 17:00:00,2017-01-02,7.434994,1,NA
"43",2017-01-02 18:00:00,2017-01-02,8.365442,1,NA
"44",2017-01-02 19:00:00,2017-01-02,9.431618,1,NA
"45",2017-01-02 20:00:00,2017-01-02,9.6605815,1,NA
"46",2017-01-02 21:00:00,2017-01-02,9.887516,1,NA
"47",2017-01-02 22:00:00,2017-01-02,9.9575195,1,NA
"48",2017-01-02 23:00:00,2017-01-02,9.889652,1,NA
"49",2017-01-03 00:00:00,2017-01-03,9.779314,1,NA
"50",2017-01-03 01:00:00,2017-01-03,9.483055,1,NA
"51",2017-01-03 02:00:00,2017-01-03,9.5191995,1,NA
"52",2017-01-03 03:00:00,2017-01-03,9.689301,1,NA
"53",2017-01-03 04:00:00,2017-01-03,9.652531,1,NA
"54",2017-01-03 05:00:00,2017-01-03,8.055683,1,NA
"55",2017-01-03 06:00:00,2017-01-03,8.5311565,1,NA
"56",2017-01-03 07:00:00,2017-01-03,9.2228715,1,NA
"57",2017-01-03 08:00:00,2017-01-03,9.0508215,1,NA
"58",2017-01-03 09:00:00,2017-01-03,8.785624,1,NA
"59",2017-01-03 10:00:00,2017-01-03,9.029694,1,NA
"60",2017-01-03 11:00:00,2017-01-03,8.768366,1,NA
"61",2017-01-03 12:00:00,2017-01-03,8.8164445,1,NA
"62",2017-01-03 13:00:00,2017-01-03,9.003799,1,NA
"63",2017-01-03 14:00:00,2017-01-03,8.947449,1,NA
"64",2017-01-03 15:00:00,2017-01-03,8.760891,1,NA
"65",2017-01-03 16:00:00,2017-01-03,8.982307,1,NA
"66",2017-01-03 17:00:00,2017-01-03,9.202053,1,NA
"67",2017-01-03 18:00:00,2017-01-03,10.04283,1,NA
"68",2017-01-03 19:00:00,2017-01-03,10.23822,1,NA
"69",2017-01-03 20:00:00,2017-01-03,10.33267,1,NA
"70",2017-01-03 21:00:00,2017-01-03,10.366795,1,NA
"71",2017-01-03 22:00:00,2017-01-03,10.46713,1,NA
"72",2017-01-03 23:00:00,2017-01-03,10.415915,1,NA
"73",2017-01-04 00:00:00,NA,NA,NA,NA
"74",2017-01-04 01:00:00,NA,NA,NA,NA
"75",2017-01-04 02:00:00,NA,NA,NA,NA
"76",2017-01-04 03:00:00,NA,NA,NA,NA
"77",2017-01-04 04:00:00,NA,NA,NA,NA
"78",2017-01-04 05:00:00,NA,NA,NA,NA
"79",2017-01-04 06:00:00,NA,NA,NA,NA
"80",2017-01-04 07:00:00,NA,NA,NA,NA
"81",2017-01-04 08:00:00,NA,NA,NA,NA
"82",2017-01-04 09:00:00,NA,NA,NA,NA
"83",2017-01-04 10:00:00,NA,NA,NA,NA
"84",2017-01-04 11:00:00,NA,NA,NA,NA
"85",2017-01-04 12:00:00,NA,NA,NA,NA
"86",2017-01-04 13:00:00,NA,NA,NA,NA
"87",2017-01-04 14:00:00,NA,NA,NA,NA
"88",2017-01-04 15:00:00,NA,NA,NA,NA
"89",2017-01-04 16:00:00,NA,NA,NA,NA
"90",2017-01-04 17:00:00,NA,NA,NA,NA
"91",2017-01-04 18:00:00,NA,NA,NA,NA
"92",2017-01-04 19:00:00,NA,NA,NA,NA
"93",2017-01-04 20:00:00,NA,NA,NA,NA
"94",2017-01-04 21:00:00,NA,NA,NA,NA
"95",2017-01-04 22:00:00,NA,NA,NA,NA
"96",2017-01-04 23:00:00,NA,NA,NA,NA
"97",2017-01-05 00:00:00,NA,NA,NA,NA
"98",2017-01-05 01:00:00,NA,NA,NA,NA
"99",2017-01-05 02:00:00,NA,NA,NA,NA
"100",2017-01-05 03:00:00,NA,NA,NA,NA
"101",2017-01-05 04:00:00,NA,NA,NA,NA
"102",2017-01-05 05:00:00,NA,NA,NA,NA
"103",2017-01-05 06:00:00,NA,NA,NA,NA
"104",2017-01-05 07:00:00,NA,NA,NA,NA
"105",2017-01-05 08:00:00,NA,NA,NA,NA
"106",2017-01-05 09:00:00,NA,NA,NA,NA
"107",2017-01-05 10:00:00,NA,NA,NA,NA
"108",2017-01-05 11:00:00,NA,NA,NA,NA
"109",2017-01-05 12:00:00,NA,NA,NA,NA
"110",2017-01-05 13:00:00,NA,NA,NA,NA
"111",2017-01-05 14:00:00,NA,NA,NA,NA
"112",2017-01-05 15:00:00,NA,NA,NA,NA
"113",2017-01-05 16:00:00,NA,NA,NA,NA
"114",2017-01-05 17:00:00,NA,NA,NA,NA
"115",2017-01-05 18:00:00,NA,NA,NA,NA
"116",2017-01-05 19:00:00,NA,NA,NA,NA
"117",2017-01-05 20:00:00,NA,NA,NA,NA
