"","datetime","date","water_temp","sea_water_temperature_qc_agg","month_yr"
"1",2017-01-01 00:00:00,2017-01-01,10.15,1,"2017-01"
"2",2017-01-01 01:00:00,2017-01-01,10.08,1,"2017-01"
"3",2017-01-01 02:00:00,2017-01-01,10.005,1,"2017-01"
"4",2017-01-01 03:00:00,2017-01-01,9.855,1,"2017-01"
"5",2017-01-01 04:00:00,2017-01-01,9.825,1,"2017-01"
"6",2017-01-01 05:00:00,2017-01-01,9.765,1,"2017-01"
"7",2017-01-01 06:00:00,2017-01-01,9.76,1,"2017-01"
"8",NA,NA,NA,NA,NA
"9",2017-01-01 08:00:00,2017-01-01,10.415,1,"2017-01"
"10",2017-01-01 09:00:00,2017-01-01,10.56,1,"2017-01"
"11",2017-01-01 10:00:00,2017-01-01,10.66,1,"2017-01"
"12",2017-01-01 11:00:00,2017-01-01,10.68,1,"2017-01"
"13",2017-01-01 12:00:00,2017-01-01,10.75,1,"2017-01"
"14",NA,NA,NA,NA,NA
"15",2017-01-01 14:00:00,2017-01-01,9.94,1,"2017-01"
"16",2017-01-01 15:00:00,2017-01-01,9.83,1,"2017-01"
"17",2017-01-01 16:00:00,2017-01-01,9.77,1,"2017-01"
"18",2017-01-01 17:00:00,2017-01-01,9.695,1,"2017-01"
"19",2017-01-01 18:00:00,2017-01-01,9.7,1,"2017-01"
"20",2017-01-01 19:00:00,2017-01-01,10.27,1,"2017-01"
"21",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA
"25",2017-01-02 00:00:00,2017-01-02,10.515,1,"2017-01"
"26",2017-01-02 01:00:00,2017-01-02,10.25,1,"2017-01"
"27",2017-01-02 02:00:00,2017-01-02,10.005,1,"2017-01"
"28",2017-01-02 03:00:00,2017-01-02,9.98,1,"2017-01"
"29",2017-01-02 04:00:00,2017-01-02,9.945,1,"2017-01"
"30",2017-01-02 05:00:00,2017-01-02,9.81,1,"2017-01"
"31",2017-01-02 06:00:00,2017-01-02,9.77,1,"2017-01"
"32",2017-01-02 07:00:00,2017-01-02,9.82,1,"2017-01"
"33",2017-01-02 08:00:00,2017-01-02,9.86,1,"2017-01"
"34",2017-01-02 09:00:00,2017-01-02,10.28,1,"2017-01"
"35",2017-01-02 10:00:00,2017-01-02,10.445,1,"2017-01"
"36",2017-01-02 11:00:00,2017-01-02,10.625,1,"2017-01"
"37",2017-01-02 12:00:00,2017-01-02,10.645,1,"2017-01"
"38",2017-01-02 13:00:00,2017-01-02,10.695,1,"2017-01"
"39",2017-01-02 14:00:00,2017-01-02,10.695,1,"2017-01"
"40",NA,NA,NA,NA,NA
"41",2017-01-02 16:00:00,2017-01-02,10.015,1,"2017-01"
"42",2017-01-02 17:00:00,2017-01-02,9.87,1,"2017-01"
"43",2017-01-02 18:00:00,2017-01-02,9.845,1,"2017-01"
"44",2017-01-02 19:00:00,2017-01-02,10.13,1,"2017-01"
"45",2017-01-02 20:00:00,2017-01-02,10.13,1,"2017-01"
"46",2017-01-02 21:00:00,2017-01-02,10.375,1,"2017-01"
"47",2017-01-02 22:00:00,2017-01-02,10.66,1,"2017-01"
"48",2017-01-02 23:00:00,2017-01-02,10.73,1,"2017-01"
"49",2017-01-03 00:00:00,2017-01-03,10.715,1,"2017-01"
"50",2017-01-03 01:00:00,2017-01-03,10.535,1,"2017-01"
"51",2017-01-03 02:00:00,2017-01-03,10.195,1,"2017-01"
"52",2017-01-03 03:00:00,2017-01-03,9.965,1,"2017-01"
"53",2017-01-03 04:00:00,2017-01-03,9.955,1,"2017-01"
"54",2017-01-03 05:00:00,2017-01-03,9.77,1,"2017-01"
"55",2017-01-03 06:00:00,2017-01-03,9.71,1,"2017-01"
"56",2017-01-03 07:00:00,2017-01-03,9.725,1,"2017-01"
"57",2017-01-03 08:00:00,2017-01-03,9.815,1,"2017-01"
"58",2017-01-03 09:00:00,2017-01-03,9.99,1,"2017-01"
"59",2017-01-03 10:00:00,2017-01-03,10.49,1,"2017-01"
"60",2017-01-03 11:00:00,2017-01-03,10.57,1,"2017-01"
"61",2017-01-03 12:00:00,2017-01-03,10.545,1,"2017-01"
"62",2017-01-03 13:00:00,2017-01-03,10.605,1,"2017-01"
"63",2017-01-03 14:00:00,2017-01-03,10.685,1,"2017-01"
"64",2017-01-03 15:00:00,2017-01-03,10.53,1,"2017-01"
"65",2017-01-03 16:00:00,2017-01-03,10.185,1,"2017-01"
"66",2017-01-03 17:00:00,2017-01-03,10,1,"2017-01"
"67",2017-01-03 18:00:00,2017-01-03,9.83,1,"2017-01"
"68",2017-01-03 19:00:00,2017-01-03,9.84,1,"2017-01"
"69",2017-01-03 20:00:00,2017-01-03,10.02,1,"2017-01"
"70",2017-01-03 21:00:00,2017-01-03,10.085,1,"2017-01"
"71",2017-01-03 22:00:00,2017-01-03,10.48,1,"2017-01"
"72",2017-01-03 23:00:00,2017-01-03,10.595,1,"2017-01"
"73",2017-01-04 00:00:00,2017-01-04,10.615,1,"2017-01"
"74",2017-01-04 01:00:00,2017-01-04,10.625,1,"2017-01"
"75",2017-01-04 02:00:00,2017-01-04,10.55,1,"2017-01"
