"","datetime","date","salinity","F_Sal","month_yr"
"1",2017-01-01 00:00:00,2017-01-01,29.831,1,"2017-01"
"2",2017-01-01 01:00:00,2017-01-01,29.879,1,"2017-01"
"3",2017-01-01 02:00:00,2017-01-01,29.878,1,"2017-01"
"4",NA,NA,NA,NA,NA
"5",2017-01-01 04:00:00,2017-01-01,26.74,1,"2017-01"
"6",2017-01-01 05:00:00,2017-01-01,25.9805,1,"2017-01"
"7",2017-01-01 06:00:00,2017-01-01,25.9285,1,"2017-01"
"8",2017-01-01 07:00:00,2017-01-01,25.982,1,"2017-01"
"9",2017-01-01 08:00:00,2017-01-01,27.887,1,"2017-01"
"10",2017-01-01 09:00:00,2017-01-01,27.954,1,"2017-01"
"11",2017-01-01 10:00:00,2017-01-01,29.298,1,"2017-01"
"12",2017-01-01 11:00:00,2017-01-01,29.773,1,"2017-01"
"13",2017-01-01 12:00:00,2017-01-01,29.0105,1,"2017-01"
"14",2017-01-01 13:00:00,2017-01-01,28.944,1,"2017-01"
"15",2017-01-01 14:00:00,2017-01-01,28.0965,1,"2017-01"
"16",2017-01-01 15:00:00,2017-01-01,28.227,1,"2017-01"
"17",2017-01-01 16:00:00,2017-01-01,28.917,1,"2017-01"
"18",2017-01-01 17:00:00,2017-01-01,28.5525,1,"2017-01"
"19",2017-01-01 18:00:00,2017-01-01,28.324,1,"2017-01"
"20",NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA
"25",2017-01-02 00:00:00,2017-01-02,29.7365,1,"2017-01"
"26",2017-01-02 01:00:00,2017-01-02,29.717,1,"2017-01"
"27",2017-01-02 02:00:00,2017-01-02,29.622,1,"2017-01"
"28",2017-01-02 03:00:00,2017-01-02,29.523,1,"2017-01"
"29",NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA
"31",2017-01-02 06:00:00,2017-01-02,25.305,1,"2017-01"
"32",2017-01-02 07:00:00,2017-01-02,25.4895,1,"2017-01"
"33",2017-01-02 08:00:00,2017-01-02,25.4985,1,"2017-01"
"34",NA,NA,NA,NA,NA
"35",2017-01-02 10:00:00,2017-01-02,28.1155,1,"2017-01"
"36",2017-01-02 11:00:00,2017-01-02,29.147,1,"2017-01"
