"","datetime","date","water_temp","F_temp","month_yr"
"1",2017-01-01 00:00:00,2017-01-01,11,1,"2017-01"
"2",2017-01-01 01:00:00,2017-01-01,10.97,1,"2017-01"
"3",2017-01-01 02:00:00,2017-01-01,10.79,1,"2017-01"
"4",NA,NA,NA,NA,NA
"5",2017-01-01 04:00:00,2017-01-01,10.64,1,"2017-01"
"6",2017-01-01 05:00:00,2017-01-01,10.585,1,"2017-01"
"7",2017-01-01 06:00:00,2017-01-01,10.57,1,"2017-01"
"8",2017-01-01 07:00:00,2017-01-01,10.59,1,"2017-01"
"9",2017-01-01 08:00:00,2017-01-01,10.78,1,"2017-01"
"10",2017-01-01 09:00:00,2017-01-01,10.78,1,"2017-01"
"11",2017-01-01 10:00:00,2017-01-01,10.89,1,"2017-01"
"12",2017-01-01 11:00:00,2017-01-01,10.9,1,"2017-01"
"13",2017-01-01 12:00:00,2017-01-01,10.785,1,"2017-01"
"14",2017-01-01 13:00:00,2017-01-01,10.735,1,"2017-01"
"15",2017-01-01 14:00:00,2017-01-01,10.63,1,"2017-01"
"16",2017-01-01 15:00:00,2017-01-01,10.79,1,"2017-01"
"17",2017-01-01 16:00:00,2017-01-01,10.8,1,"2017-01"
"18",2017-01-01 17:00:00,2017-01-01,10.715,1,"2017-01"
"19",2017-01-01 18:00:00,2017-01-01,10.735,1,"2017-01"
"20",NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA
"25",2017-01-02 00:00:00,2017-01-02,11.015,1,"2017-01"
"26",NA,NA,NA,NA,NA
"27",2017-01-02 02:00:00,2017-01-02,10.82,1,"2017-01"
"28",2017-01-02 03:00:00,2017-01-02,10.695,1,"2017-01"
"29",2017-01-02 04:00:00,2017-01-02,10.62,1,"2017-01"
"30",2017-01-02 05:00:00,2017-01-02,10.58,1,"2017-01"
"31",2017-01-02 06:00:00,2017-01-02,10.47,1,"2017-01"
"32",2017-01-02 07:00:00,2017-01-02,10.47,3,"2017-01"
"33",2017-01-02 08:00:00,2017-01-02,10.475,3,"2017-01"
"34",NA,NA,NA,NA,NA
"35",2017-01-02 10:00:00,2017-01-02,10.76,3,"2017-01"
"36",2017-01-02 11:00:00,2017-01-02,10.83,1,"2017-01"
