"","datetime","air_temperature","date"
"1",2017-01-01 00:00:00,9.7,2017-01-01
"2",2017-01-01 01:00:00,9.8,2017-01-01
"3",2017-01-01 02:00:00,9.9,2017-01-01
"4",2017-01-01 03:00:00,9.6,2017-01-01
"5",2017-01-01 04:00:00,9.4,2017-01-01
"6",2017-01-01 05:00:00,10.1,2017-01-01
"7",2017-01-01 06:00:00,10.4,2017-01-01
"8",2017-01-01 07:00:00,10.3,2017-01-01
"9",2017-01-01 08:00:00,10.25,2017-01-01
"10",2017-01-01 09:00:00,10.3,2017-01-01
"11",2017-01-01 10:00:00,10.1,2017-01-01
"12",2017-01-01 11:00:00,9.8,2017-01-01
"13",2017-01-01 12:00:00,9.6,2017-01-01
"14",2017-01-01 13:00:00,9.4,2017-01-01
"15",2017-01-01 14:00:00,9.15,2017-01-01
"16",2017-01-01 15:00:00,8.8,2017-01-01
"17",2017-01-01 16:00:00,8.9,2017-01-01
"18",2017-01-01 17:00:00,9.2,2017-01-01
"19",2017-01-01 18:00:00,8.75,2017-01-01
"20",2017-01-01 19:00:00,10.2,2017-01-01
"21",2017-01-01 20:00:00,NA,NA
"22",2017-01-01 21:00:00,NA,NA
"23",2017-01-01 22:00:00,NA,NA
"24",2017-01-01 23:00:00,NA,NA
"25",2017-01-02 00:00:00,10.3,2017-01-02
"26",2017-01-02 01:00:00,9.6,2017-01-02
"27",2017-01-02 02:00:00,9.5,2017-01-02
"28",2017-01-02 03:00:00,9.05,2017-01-02
"29",2017-01-02 04:00:00,9.3,2017-01-02
"30",2017-01-02 05:00:00,8.65,2017-01-02
"31",2017-01-02 06:00:00,8.45,2017-01-02
"32",2017-01-02 07:00:00,8.15,2017-01-02
"33",2017-01-02 08:00:00,7.7,2017-01-02
"34",2017-01-02 09:00:00,7.4,2017-01-02
"35",2017-01-02 10:00:00,7.6,2017-01-02
"36",2017-01-02 11:00:00,7.5,2017-01-02
"37",2017-01-02 12:00:00,6.2,2017-01-02
"38",2017-01-02 13:00:00,6.15,2017-01-02
"39",2017-01-02 14:00:00,6,2017-01-02
"40",2017-01-02 15:00:00,6.2,2017-01-02
"41",2017-01-02 16:00:00,6.7,2017-01-02
"42",2017-01-02 17:00:00,NA,NA
"43",2017-01-02 18:00:00,9.1,2017-01-02
"44",2017-01-02 19:00:00,10.1,2017-01-02
"45",2017-01-02 20:00:00,10.15,2017-01-02
"46",2017-01-02 21:00:00,10.1,2017-01-02
"47",2017-01-02 22:00:00,10.4,2017-01-02
"48",2017-01-02 23:00:00,10.3,2017-01-02
"49",2017-01-03 00:00:00,9.8,2017-01-03
"50",2017-01-03 01:00:00,9.7,2017-01-03
"51",2017-01-03 02:00:00,9.6,2017-01-03
"52",2017-01-03 03:00:00,9.8,2017-01-03
"53",2017-01-03 04:00:00,9.7,2017-01-03
"54",2017-01-03 05:00:00,NA,NA
"55",2017-01-03 06:00:00,9.5,2017-01-03
"56",2017-01-03 07:00:00,9.65,2017-01-03
"57",2017-01-03 08:00:00,9.2,2017-01-03
"58",2017-01-03 09:00:00,9.1,2017-01-03
