"","datetime","date","do"
"1",2017-01-01 00:00:00,2017-01-01,8.4
"2",2017-01-01 01:00:00,2017-01-01,8.4
"3",2017-01-01 02:00:00,2017-01-01,8.3
"4",2017-01-01 03:00:00,2017-01-01,8.7
"5",2017-01-01 04:00:00,2017-01-01,8.3
"6",2017-01-01 05:00:00,NA,NA
"7",2017-01-01 06:00:00,2017-01-01,8.7
"8",2017-01-01 07:00:00,2017-01-01,8.9
"9",2017-01-01 08:00:00,2017-01-01,8.9
"10",2017-01-01 09:00:00,2017-01-01,9.15
"11",2017-01-01 10:00:00,2017-01-01,9.4
"12",2017-01-01 11:00:00,2017-01-01,9
"13",2017-01-01 12:00:00,2017-01-01,9.1
"14",2017-01-01 13:00:00,2017-01-01,9.85
"15",2017-01-01 14:00:00,2017-01-01,10.35
"16",2017-01-01 15:00:00,NA,NA
"17",2017-01-01 16:00:00,2017-01-01,10.5
"18",2017-01-01 17:00:00,2017-01-01,10.6
"19",2017-01-01 18:00:00,2017-01-01,10.85
"20",2017-01-01 19:00:00,2017-01-01,11.1
"21",2017-01-01 20:00:00,2017-01-01,11
"22",2017-01-01 21:00:00,NA,NA
"23",2017-01-01 22:00:00,NA,NA
"24",2017-01-01 23:00:00,NA,NA
"25",2017-01-02 00:00:00,2017-01-02,8.3
"26",2017-01-02 01:00:00,2017-01-02,8.2
"27",2017-01-02 02:00:00,2017-01-02,8.1
"28",2017-01-02 03:00:00,2017-01-02,8.1
"29",2017-01-02 04:00:00,2017-01-02,8
"30",2017-01-02 05:00:00,2017-01-02,8.2
"31",2017-01-02 06:00:00,NA,NA
"32",2017-01-02 07:00:00,2017-01-02,8.8
"33",2017-01-02 08:00:00,2017-01-02,8.35
"34",2017-01-02 09:00:00,2017-01-02,8.1
"35",2017-01-02 10:00:00,2017-01-02,8.3
"36",2017-01-02 11:00:00,2017-01-02,8.8
"37",2017-01-02 12:00:00,2017-01-02,9.4
"38",2017-01-02 13:00:00,2017-01-02,9.25
"39",2017-01-02 14:00:00,2017-01-02,9.2
"40",2017-01-02 15:00:00,2017-01-02,9.6
"41",2017-01-02 16:00:00,NA,NA
"42",2017-01-02 17:00:00,2017-01-02,10.75
"43",2017-01-02 18:00:00,2017-01-02,10.95
"44",2017-01-02 19:00:00,2017-01-02,11
"45",2017-01-02 20:00:00,2017-01-02,11.05
"46",2017-01-02 21:00:00,2017-01-02,10.8
"47",2017-01-02 22:00:00,2017-01-02,10.55
"48",2017-01-02 23:00:00,2017-01-02,10.4
"49",2017-01-03 00:00:00,2017-01-03,10.2
"50",2017-01-03 01:00:00,NA,NA
"51",2017-01-03 02:00:00,2017-01-03,8.3
"52",2017-01-03 03:00:00,2017-01-03,8.3
"53",2017-01-03 04:00:00,2017-01-03,8.5
"54",2017-01-03 05:00:00,NA,NA
"55",2017-01-03 06:00:00,2017-01-03,8.95
"56",2017-01-03 07:00:00,2017-01-03,8.9
"57",2017-01-03 08:00:00,2017-01-03,8.9
"58",2017-01-03 09:00:00,2017-01-03,8.85
"59",2017-01-03 10:00:00,NA,NA
"60",2017-01-03 11:00:00,2017-01-03,8.7
"61",2017-01-03 12:00:00,2017-01-03,8.6
"62",2017-01-03 13:00:00,2017-01-03,8.7
"63",2017-01-03 14:00:00,2017-01-03,8.5
"64",2017-01-03 15:00:00,2017-01-03,8.5
"65",2017-01-03 16:00:00,2017-01-03,8.45
"66",2017-01-03 17:00:00,NA,NA
"67",2017-01-03 18:00:00,2017-01-03,8.9
"68",2017-01-03 19:00:00,2017-01-03,9
"69",2017-01-03 20:00:00,2017-01-03,9.1
"70",2017-01-03 21:00:00,2017-01-03,9
"71",2017-01-03 22:00:00,2017-01-03,9
"72",2017-01-03 23:00:00,2017-01-03,9
"73",2017-01-04 00:00:00,2017-01-04,8.9
"74",2017-01-04 01:00:00,2017-01-04,8.9
"75",2017-01-04 02:00:00,2017-01-04,8.7
"76",2017-01-04 03:00:00,2017-01-04,8.7
"77",2017-01-04 04:00:00,2017-01-04,8.6
"78",2017-01-04 05:00:00,2017-01-04,8.6
"79",2017-01-04 06:00:00,2017-01-04,8.55
"80",2017-01-04 07:00:00,2017-01-04,8.5
"81",2017-01-04 08:00:00,2017-01-04,8.4
"82",2017-01-04 09:00:00,2017-01-04,8.3
"83",2017-01-04 10:00:00,2017-01-04,8.3
"84",2017-01-04 11:00:00,2017-01-04,8.3
"85",2017-01-04 12:00:00,2017-01-04,8.4
"86",2017-01-04 13:00:00,2017-01-04,8.6
"87",2017-01-04 14:00:00,2017-01-04,8.6
"88",2017-01-04 15:00:00,2017-01-04,8.55
"89",2017-01-04 16:00:00,2017-01-04,8.5
