"","date","datetime","salinity","median","stdev","hi.95","lo.95","month_yr"
"1",2017-01-01 00:00:00,2017-01-01,25.75,25.7,0.252528431097166,26.2050568621943,25.2306694186715,"2017-01"
"2",2017-01-01 01:00:00,2017-01-01,25.6,26.1,0.25617376914899,26.612347538298,25.587652461702,"2017-01"
"3",2017-01-01 02:00:00,2017-01-01,25.7,26.1,0.205649377987551,26.5112987559751,25.6887012440249,"2017-01"
"4",2017-01-01 03:00:00,2017-01-01,26.1,26.1,0.169057259036404,26.4381145180728,25.7618854819272,"2017-01"
"5",2017-01-01 04:00:00,2017-01-01,26.15,26,0.157770364563097,26.3155407291262,25.6972474768348,"2017-01"
"6",2017-01-01 05:00:00,2017-01-01,26.1,25.925,0.143445108248281,26.2118902164966,25.6381097835034,"2017-01"
"7",2017-01-01 06:00:00,NA,NA,NA,NA,NA,NA,"2017-01"
"8",2017-01-01 07:00:00,2017-01-01,25.9,25.9,0.162187173799228,26.2243743475985,25.5756256524015,"2017-01"
"9",2017-01-01 08:00:00,2017-01-01,25.9,25.9,0.851280443863314,27.6025608877266,24.1974391122734,"2017-01"
"10",2017-01-01 09:00:00,2017-01-01,25.9,26.9,1.14110254124287,29.1822050824857,24.6177949175143,"2017-01"
"11",2017-01-01 10:00:00,2017-01-01,25.9,27.95,1.13356002634767,30.2171200526953,25.6828799473047,"2017-01"
"12",2017-01-01 11:00:00,2017-01-01,27.65,28.2,0.568181220128459,29.3363624402569,27.0636375597431,"2017-01"
"13",2017-01-01 12:00:00,2017-01-01,28.25,28.15,0.909922638120233,29.9241444548109,26.3301547237595,"2017-01"
"14",2017-01-01 13:00:00,2017-01-01,28.5,26.95,1.02141650009517,28.9928330001903,24.9071669998097,"2017-01"
"15",2017-01-01 14:00:00,NA,NA,NA,NA,NA,NA,"2017-01"
"16",2017-01-01 15:00:00,2017-01-01,26.3,25.9,0.233809038890003,26.36761807778,25.43238192222,"2017-01"
"17",2017-01-01 16:00:00,2017-01-01,26.1,25.75,0.217562251627743,26.1851245032555,25.3148754967445,"2017-01"
"18",2017-01-01 17:00:00,NA,NA,NA,NA,NA,NA,"2017-01"
"19",2017-01-01 18:00:00,2017-01-01,25.7,25.65,0.087321245982864,25.8246424919657,25.4753575080343,"2017-01"
"20",2017-01-01 19:00:00,2017-01-01,25.6,25.7,0.128027369812647,25.9560547396253,25.4266304436396,"2017-01"
"21",2017-01-01 20:00:00,2017-01-01,25.6,25.75,0.330403793359983,26.41080758672,25.08919241328,"2017-01"
"22",2017-01-01 21:00:00,NA,NA,NA,NA,NA,NA,"2017-01"
"23",2017-01-01 22:00:00,NA,NA,NA,NA,NA,NA,"2017-01"
"24",2017-01-01 23:00:00,NA,NA,NA,NA,NA,NA,"2017-01"
"25",2017-01-02 00:00:00,2017-01-02,26.5,25.9,0.396652660817161,26.6933053216343,25.1066946783657,"2017-01"
"26",2017-01-02 01:00:00,2017-01-02,26.5,26.35,0.376749872179733,27.076421470316,25.5965002556405,"2017-01"
"27",2017-01-02 02:00:00,2017-01-02,26.6,26.5,0.299930547516144,27.0998610950323,25.9001389049677,"2017-01"
"28",2017-01-02 03:00:00,2017-01-02,26.5,26.5,0.173863624811583,26.8477272496232,26.1522727503768,"2017-01"
"29",2017-01-02 04:00:00,2017-01-02,26.5,26.5,0.16143315594841,26.8228663118968,26.1771336881032,"2017-01"
"30",2017-01-02 05:00:00,2017-01-02,26.25,26.5,0.180908000251185,26.8618160005024,26.1381839994976,"2017-01"
"31",2017-01-02 06:00:00,2017-01-02,26.1,26.35,0.190503718248928,26.7337220748648,25.9905739419982,"2017-01"
"32",2017-01-02 07:00:00,2017-01-02,26.1,26.225,0.17022950543621,26.5732820083469,25.8867426044027,"2017-01"
"33",2017-01-02 08:00:00,2017-01-02,26.2,26.2,0.103868595885394,26.4077371917708,25.9922628082292,"2017-01"
"34",2017-01-02 09:00:00,2017-01-02,26.3,26.2,0.093094933625126,26.3861898672503,26.0138101327497,"2017-01"
"35",2017-01-02 10:00:00,2017-01-02,26.3,26.225,0.119368770724957,26.4644276098259,25.9862624585501,"2017-01"
"36",2017-01-02 11:00:00,2017-01-02,26.25,26.3,0.0829828936199131,26.4659657872398,26.1340342127602,"2017-01"
"37",2017-01-02 12:00:00,2017-01-02,26.2,26.3,0.0655108133567786,26.4310216267136,26.1689783732864,"2017-01"
"38",2017-01-02 13:00:00,2017-01-02,26.3,26.3,0.0683130051063974,26.4366260102128,26.1633739897872,"2017-01"
"39",2017-01-02 14:00:00,2017-01-02,26.9,26.3,0.347311099736246,26.9946221994725,25.6053778005275,"2017-01"
"40",2017-01-02 15:00:00,2017-01-02,26.3,26.5,0.361979806267088,27.2132977071575,25.7479751928686,"2017-01"
"41",2017-01-02 16:00:00,2017-01-02,26,26.5,0.412567627100927,27.3251352542019,25.6748647457981,"2017-01"
"42",2017-01-02 17:00:00,2017-01-02,25.95,26.175,0.464412798230465,27.1038255964609,25.2461744035391,"2017-01"
"43",2017-01-02 18:00:00,2017-01-02,25.9,26,0.357264134424196,26.7145282688484,25.2854717311516,"2017-01"
"44",2017-01-02 19:00:00,2017-01-02,25.85,25.9,0.0705284239578577,26.0410568479157,25.7589431520843,"2017-01"
"45",2017-01-02 20:00:00,2017-01-02,25.8,25.9,0.0718795288428258,26.0437590576857,25.7562409423143,"2017-01"
"46",2017-01-02 21:00:00,2017-01-02,25.8,25.825,0.051437265889614,25.9278745317792,25.7233602220506,"2017-01"
"47",2017-01-02 22:00:00,2017-01-02,25.8,25.8,0.0425163241457434,25.8850326482915,25.7149673517085,"2017-01"
"48",2017-01-02 23:00:00,NA,NA,NA,NA,NA,NA,"2017-01"
"49",2017-01-03 00:00:00,NA,NA,NA,NA,NA,NA,"2017-01"
"50",2017-01-03 01:00:00,2017-01-03,26.2,25.9,0.217082594045038,26.3341651880901,25.4658348119099,"2017-01"
"51",2017-01-03 02:00:00,2017-01-03,26.2,26.05,0.19981051270013,26.4496210254003,25.6503789745997,"2017-01"
"52",2017-01-03 03:00:00,2017-01-03,26.2,26.2,0.156585844360404,26.5131716887208,25.8868283112792,"2017-01"
"53",2017-01-03 04:00:00,2017-01-03,26,26.2,0.118525180956719,26.4370503619134,25.9629496380866,"2017-01"
"54",2017-01-03 05:00:00,2017-01-03,25.9,26.1,0.11474609652039,26.3294921930408,25.8705078069592,"2017-01"
"55",2017-01-03 06:00:00,2017-01-03,25.7,26,0.167332005306815,26.3346640106136,25.6653359893864,"2017-01"
"56",2017-01-03 07:00:00,2017-01-03,25.7,25.875,0.175351606757869,26.2257032135157,25.5242967864843,"2017-01"
"57",2017-01-03 08:00:00,2017-01-03,25.6,25.7,0.140621686530544,25.9812433730611,25.4187566269389,"2017-01"
"58",2017-01-03 09:00:00,2017-01-03,25.6,25.675,0.0742750854091777,25.8235501708184,25.5122932638399,"2017-01"
"59",2017-01-03 10:00:00,2017-01-03,25.5,25.6,0.0686951710998018,25.7373903421996,25.4626096578004,"2017-01"
"60",2017-01-03 11:00:00,2017-01-03,25.5,25.6,0.0683130051063974,25.7366260102128,25.4633739897872,"2017-01"
"61",2017-01-03 12:00:00,2017-01-03,25.4,25.5,0.0750000000000011,25.65,25.35,"2017-01"
"62",2017-01-03 13:00:00,2017-01-03,25.3,25.425,0.0915772963728413,25.6081545927457,25.2418454072543,"2017-01"
"63",2017-01-03 14:00:00,2017-01-03,25.3,25.4,0.0894427190999913,25.5788854382,25.2211145618,"2017-01"
"64",2017-01-03 15:00:00,2017-01-03,26.4,25.4,0.576314311635882,26.5526286232718,24.2473713767282,"2017-01"
"65",2017-01-03 16:00:00,2017-01-03,26.15,26.3,0.56807240399003,27.3979657341541,25.1638551920199,"2017-01"
"66",2017-01-03 17:00:00,2017-01-03,25.4,26.3,0.518373269382614,27.3367465387652,25.2632534612348,"2017-01"
"67",2017-01-03 18:00:00,2017-01-03,25.5,25.975,0.481294825089195,26.9457199502539,25.0042800497461,"2017-01"
"68",2017-01-03 19:00:00,2017-01-03,25.5,25.5,0.380685903961353,26.2613718079227,24.7386281920773,"2017-01"
"69",2017-01-03 20:00:00,2017-01-03,25.5,25.5,0.0938446318410768,25.6876892636822,25.3123107363178,"2017-01"
"70",2017-01-03 21:00:00,2017-01-03,25.5,25.5,0.0341565025531991,25.5683130051064,25.4316869948936,"2017-01"
"71",2017-01-03 22:00:00,2017-01-03,25.4,25.5,0.0512347538297987,25.6024695076596,25.3975304923404,"2017-01"
"72",2017-01-03 23:00:00,2017-01-03,25.4,25.4,0.0512347538297987,25.5024695076596,25.3,"2017-01"
"73",2017-01-04 00:00:00,NA,NA,NA,NA,NA,NA,"2017-01"
"74",2017-01-04 01:00:00,2017-01-04,25.6,25.5,0.200611017161179,25.9012220343224,25.0987779656776,"2017-01"
"75",2017-01-04 02:00:00,2017-01-04,26.2,25.7,0.447167008323885,26.5943340166478,24.8056659833522,"2017-01"
