"","datetime","date","salinity","sea_water_practical_salinity_qc_agg","month_yr"
"1",2017-01-01,2017-01-01,20.44,3,"2017-01"
"2",2017-01-01,2017-01-01,20.37,1,"2017-01"
"3",2017-01-01,2017-01-01,20.095,1,"2017-01"
"4",2017-01-01,2017-01-01,18.145,1,"2017-01"
"5",2017-01-01,2017-01-01,17.7,1,"2017-01"
"6",2017-01-01,2017-01-01,17.27,1,"2017-01"
"7",2017-01-01,2017-01-01,17.27,1,"2017-01"
"8",NA,NA,NA,NA,NA
"9",2017-01-01,2017-01-01,24.26,2,"2017-01"
"10",2017-01-01,2017-01-01,25.595,1,"2017-01"
"11",2017-01-01,2017-01-01,26.755,1,"2017-01"
"12",2017-01-01,2017-01-01,27.03,1,"2017-01"
"13",2017-01-01,2017-01-01,27.74,1,"2017-01"
"14",NA,NA,NA,NA,NA
"15",2017-01-01,2017-01-01,22.78,3,"2017-01"
"16",2017-01-01,2017-01-01,21.32,1,"2017-01"
"17",2017-01-01,2017-01-01,21.19,1,"2017-01"
"18",2017-01-01,2017-01-01,20.06,1,"2017-01"
"19",2017-01-01,2017-01-01,19.97,1,"2017-01"
"20",2017-01-01,2017-01-01,23.62,1,"2017-01"
"21",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA
"25",2017-01-02,2017-01-02,25.4,1,"2017-01"
"26",2017-01-02,2017-01-02,22.61,1,"2017-01"
"27",2017-01-02,2017-01-02,21.155,1,"2017-01"
"28",2017-01-02,2017-01-02,21.175,1,"2017-01"
"29",2017-01-02,2017-01-02,19.79,1,"2017-01"
"30",2017-01-02,2017-01-02,17.04,1,"2017-01"
"31",2017-01-02,2017-01-02,17.015,1,"2017-01"
"32",2017-01-02,2017-01-02,17.645,1,"2017-01"
"33",2017-01-02,2017-01-02,18.29,1,"2017-01"
"34",2017-01-02,2017-01-02,23.05,1,"2017-01"
"35",2017-01-02,2017-01-02,24.92,1,"2017-01"
"36",2017-01-02,2017-01-02,26.625,1,"2017-01"
"37",2017-01-02,2017-01-02,26.85,1,"2017-01"
"38",2017-01-02,2017-01-02,27.585,1,"2017-01"
"39",2017-01-02,2017-01-02,27.09,1,"2017-01"
"40",NA,NA,NA,NA,NA
"41",2017-01-02,2017-01-02,21.74,1,"2017-01"
"42",2017-01-02,2017-01-02,20.88,1,"2017-01"
"43",2017-01-02,2017-01-02,20.415,1,"2017-01"
"44",2017-01-02,2017-01-02,22.665,1,"2017-01"
"45",2017-01-02,2017-01-02,22.41,1,"2017-01"
"46",2017-01-02,2017-01-02,24.575,3,"2017-01"
"47",2017-01-02,2017-01-02,27.19,1,"2017-01"
"48",2017-01-02,2017-01-02,28.07,1,"2017-01"
"49",2017-01-03,2017-01-03,27.92,1,"2017-01"
"50",2017-01-03,2017-01-03,26.165,2,"2017-01"
"51",2017-01-03,2017-01-03,22.91,1,"2017-01"
"52",2017-01-03,2017-01-03,20.745,1,"2017-01"
"53",2017-01-03,2017-01-03,20.57,1,"2017-01"
"54",2017-01-03,2017-01-03,19.08,1,"2017-01"
"55",2017-01-03,2017-01-03,17.175,1,"2017-01"
"56",2017-01-03,2017-01-03,17.375,1,"2017-01"
"57",2017-01-03,2017-01-03,18.565,1,"2017-01"
"58",2017-01-03,2017-01-03,20.26,3,"2017-01"
"59",2017-01-03,2017-01-03,25.78,1,"2017-01"
"60",2017-01-03,2017-01-03,26.57,1,"2017-01"
"61",2017-01-03,2017-01-03,26.415,1,"2017-01"
"62",2017-01-03,2017-01-03,27.005,1,"2017-01"
"63",2017-01-03,2017-01-03,27.77,1,"2017-01"
"64",2017-01-03,2017-01-03,26.31,1,"2017-01"
"65",2017-01-03,2017-01-03,23.28,2,"2017-01"
"66",2017-01-03,2017-01-03,20.86,1,"2017-01"
"67",2017-01-03,2017-01-03,19.505,1,"2017-01"
"68",2017-01-03,2017-01-03,19.46,1,"2017-01"
"69",2017-01-03,2017-01-03,21.295,1,"2017-01"
"70",2017-01-03,2017-01-03,21.865,1,"2017-01"
"71",2017-01-03,2017-01-03,25.81,3,"2017-01"
"72",2017-01-03,2017-01-03,26.98,1,"2017-01"
"73",2017-01-04,2017-01-04,27.27,1,"2017-01"
"74",2017-01-04,2017-01-04,27.26,1,"2017-01"
"75",2017-01-04,2017-01-04,26.455,1,"2017-01"
"76",NA,NA,NA,NA,NA
"77",2017-01-04,2017-01-04,23.23,1,"2017-01"
"78",2017-01-04,2017-01-04,20.165,1,"2017-01"
"79",2017-01-04,2017-01-04,19.875,1,"2017-01"
"80",2017-01-04,2017-01-04,19.53,1,"2017-01"
"81",2017-01-04,2017-01-04,19.83,1,"2017-01"
"82",NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA
"84",2017-01-04,2017-01-04,25.9,1,"2017-01"
"85",2017-01-04,2017-01-04,27.375,1,"2017-01"
"86",2017-01-04,2017-01-04,27.38,1,"2017-01"
"87",2017-01-04,2017-01-04,28.39,1,"2017-01"
"88",2017-01-04,2017-01-04,27.89,1,"2017-01"
"89",NA,NA,NA,NA,NA
"90",2017-01-04,2017-01-04,20.72,1,"2017-01"
"91",2017-01-04,2017-01-04,19.37,1,"2017-01"
"92",2017-01-04,2017-01-04,17.885,1,"2017-01"
"93",2017-01-04,2017-01-04,17.06,1,"2017-01"
"94",2017-01-04,2017-01-04,16.675,1,"2017-01"
"95",2017-01-04,2017-01-04,16.54,1,"2017-01"
"96",2017-01-04,2017-01-04,17.74,2,"2017-01"
"97",2017-01-05,2017-01-05,18.25,1,"2017-01"
"98",2017-01-05,2017-01-05,18.155,1,"2017-01"
"99",2017-01-05,2017-01-05,16.985,1,"2017-01"
"100",2017-01-05,2017-01-05,19.03,1,"2017-01"
"101",2017-01-05,2017-01-05,17.52,1,"2017-01"
"102",2017-01-05,2017-01-05,16.08,1,"2017-01"
"103",2017-01-05,2017-01-05,15.855,1,"2017-01"
"104",2017-01-05,2017-01-05,15.89,1,"2017-01"
"105",2017-01-05,2017-01-05,15.25,1,"2017-01"
"106",2017-01-05,2017-01-05,14.315,1,"2017-01"
"107",2017-01-05,2017-01-05,16.15,1,"2017-01"
"108",NA,NA,NA,NA,NA
"109",2017-01-05,2017-01-05,25.56,3,"2017-01"
"110",2017-01-05,2017-01-05,27.48,1,"2017-01"
"111",2017-01-05,2017-01-05,28.895,1,"2017-01"
"112",2017-01-05,2017-01-05,29.615,1,"2017-01"
"113",2017-01-05,2017-01-05,28.52,3,"2017-01"
"114",NA,NA,NA,NA,NA
"115",2017-01-05,2017-01-05,19.8,1,"2017-01"
"116",2017-01-05,2017-01-05,18.195,1,"2017-01"
"117",2017-01-05,2017-01-05,16.485,1,"2017-01"
"118",2017-01-05,2017-01-05,16.04,1,"2017-01"
"119",2017-01-05,2017-01-05,15.215,1,"2017-01"
"120",2017-01-05,2017-01-05,15.155,1,"2017-01"
"121",2017-01-06,2017-01-06,15.955,1,"2017-01"
"122",NA,NA,NA,NA,NA
"123",2017-01-06,2017-01-06,17.855,1,"2017-01"
"124",2017-01-06,2017-01-06,15.62,1,"2017-01"
"125",2017-01-06,2017-01-06,16.19,1,"2017-01"
"126",2017-01-06,2017-01-06,20.29,1,"2017-01"
"127",2017-01-06,2017-01-06,16.355,1,"2017-01"
"128",2017-01-06,2017-01-06,15.5,1,"2017-01"
