run,replicate,treatment,ph_discrete
1,1,1,7.854383039
1,2,1,7.882031032
1,3,1,7.876513524
1,1,2,6.2214909
1,2,2,6.126041906
1,3,2,6.522677868
1,1,3,7.93182738
1,2,3,7.956174845
1,3,3,7.952819114
1,1,4,7.288199926
1,2,4,7.328043467
1,3,4,7.259043506
2,1,1,7.886512308
2,2,1,7.88690227
2,3,1,7.888843801
2,1,2,7.364513997
2,2,2,7.221261818
2,3,2,7.200598006
2,1,3,7.95716552
2,2,3,7.955741614
2,3,3,7.946586486
2,1,4,7.944494775
2,2,4,7.939789482
2,3,4,7.936644898
3,1,1,7.920599365
3,2,1,7.917523441
3,3,1,7.915327892
3,1,2,7.391368252
3,2,2,7.398307391
3,3,2,7.378498541
3,1,3,7.953440379
3,2,3,7.951293118
3,3,3,7.961359196
3,1,4,7.920560149
3,2,4,7.923100233
3,3,4,7.936357996
