"","thalli","date","run","start_time","end_time","tank","treatment","hach_start_unit","hach_end_unit","hach_period","unit_ph_hach","unit_temp_hach","unit_sal_hach","unit_do_hach","par","thalli_weight","discrete_collection_time","header_hach_time","header_pH_hach","header_temp_hach","header_sal_hach","header_do_hach","repro_apices","veg_apices","wwr","wwv","wwrecp","concept","oo_in_1","oo_in_2","oo_in_3","dwr","dwv","dwrecp","oo_disc_1","oo_disc_2","oo_disc_3","oo_disc_4","ph_probe_location","hobo_logger_location","notes","unit_ph_corrected","avg_disc_oo","unit_avg_sal","unit_avg_ph_c","unit_avg_do","unit_avg_temp"
"1","A1","11/12/2019",1,"11:23","16:00","A",1,"12:39","13:12","start",7.96,16.1,26.9,8.63,758,28.336,"12:12","12:12",7.85,15.5,26.8,8.8,57,9,18.436,8.233,1.394,320,18,29,25,2.692,2.149,0.21,1003,71,67,NA,"header tank 1=yellow probe","probe #1=B2","par measured 07:50am-08:15am",7.8974358974359,380.333333333333,27.1,7.85897435897436,8.96,16.2666666666667
"2","A1","11/12/2019",1,"11:23","16:00","A",1,"15:29","15:55","end",7.91,16.4,27.3,9.02,NA,NA,"14:25","14:55",8.01,16.2,27.1,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.83333333333333,NA,27.1,7.85897435897436,8.96,16.2666666666667
"3","A1","11/12/2019",1,"11:23","16:00","A",1,"14:05","14:41","mid",7.92,16.3,27.1,9.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.84615384615385,NA,27.1,7.85897435897436,8.96,16.2666666666667
"4","A2","11/12/2019",1,"11:23","16:00","A",2,"15:29","15:55","end",6.64,16.5,26.9,9.09,NA,NA,"14:25","14:55",6.33,16.1,27,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6.2051282051282,NA,27.1666666666667,6.41452991452991,9.40333333333333,16.5333333333333
"5","A2","11/12/2019",1,"11:23","16:00","A",2,"14:05","14:41","mid",6.67,16.7,27.3,9.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6.24358974358974,NA,27.1666666666667,6.41452991452991,9.40333333333333,16.5333333333333
"6","A2","11/12/2019",1,"11:23","16:00","A",2,"12:39","13:12","start",7.1,16.4,27.3,9.97,749,28.876,"12:12","12:12",7.11,15.4,26.7,8.59,98,2,23.153,4.196,1.131,312,43,50,53,3.443,1.184,0.151,27,40,17,7,"header tank 2=purple probe","probe #3=B4","thalli attached an put in unit tanks at 10:32am",6.79487179487179,22.75,27.1666666666667,6.41452991452991,9.40333333333333,16.5333333333333
"7","A3","11/12/2019",1,"11:23","16:00","A",3,"14:05","14:41","mid",8.07,16.6,30.7,9.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.03846153846154,NA,30.6666666666667,8.05128205128205,9.10333333333333,16.5333333333333
"8","A3","11/12/2019",1,"11:23","16:00","A",3,"15:29","15:55","end",8.05,16.7,30.6,9.16,NA,NA,"14:25","14:55",8.02,16.5,30.6,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.01282051282051,NA,30.6666666666667,8.05128205128205,9.10333333333333,16.5333333333333
"9","A3","11/12/2019",1,"11:23","16:00","A",3,"12:39","13:12","start",8.12,16.3,30.7,8.32,750,29.929,"11:54","11:54",7.98,15.4,30.5,10.24,37,6,23.183,4.29,1.713,350,21,58,41,3.09,1.202,0.206,70,387,45,205,"header tank 3=red probe","probe #4=B ledge, out of water","delayed water flow to header tanks 1 and 4",8.1025641025641,176.75,30.6666666666667,8.05128205128205,9.10333333333333,16.5333333333333
"10","A4","11/12/2019",1,"11:23","16:00","A",4,"15:29","15:55","end",7.39,16.6,30.6,10.22,NA,NA,"14:25","14:55",7.24,16.5,30.6,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.16666666666667,NA,30.6666666666667,7.34615384615385,9.37333333333333,16.5666666666667
"11","A4","11/12/2019",1,"11:23","16:00","A",4,"14:05","14:41","mid",7.48,16.6,30.7,9.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.28205128205128,NA,30.6666666666667,7.34615384615385,9.37333333333333,16.5666666666667
