"","X","site.old","site.code","site","quad","month","day","year","date","survey.season","survey.month","tran.loc.m","cover","no.fuc.q","no.large.fuc.q","no.small.fuc.q","fuc.ht","covcl.repro","ww.veg","ww.repro","ww.recp","dw.veg","dw.repro","dw.recp","apices.repro","apices.veg","no.concept.recp","oog.conc.1","oog.conc.2","oog.conc.3","groove","notes","perc.ra","avg.oog","perc.rdw"
"1",1,"ND","PTC","Point Chauncey",10,9,12,2019,"9/12/2019","Summer 2019","19-Sep",15,2,2,0,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"2",2,"ND","PTC","Point Chauncey",10,6,14,2018,"6/14/2018","Spring 2018","18-Jun",15,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"3",3,"PC","PCY","Paradise Cay",6,6,14,2018,"6/14/2018","Spring 2018","18-Jun",11,6,17,NA,NA,NA,1,81.332,122.469,NA,17.992,14.91,NA,NA,NA,NA,NA,NA,NA,NA,"all sporeling in quadrat",NA,NA,45.3163941401738
"4",4,"PC","PCY","Paradise Cay",8,6,14,2018,"6/14/2018","Spring 2018","18-Jun",13,22,58,NA,NA,NA,1,33.758,58.614,NA,7.713,6.371,NA,NA,NA,NA,NA,NA,NA,NA,"all sporeling in quadrat",NA,NA,45.2357284862255
"5",5,"PC","PCY","Paradise Cay",9,6,14,2018,"6/14/2018","Spring 2018","18-Jun",14,23,64,NA,NA,NA,1,26.076,22.749,NA,6.664,2.481,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,27.1295790049207
"6",6,"BY","BYP","Brickyard Park",1,6,15,2018,"6/15/2018","Spring 2018","18-Jun",1,7,25,NA,NA,NA,1,1.361,0,NA,0.359,0,NA,0,22,NA,NA,NA,NA,NA,"",0,NA,0
"7",7,"BY","BYP","Brickyard Park",2,6,15,2018,"6/15/2018","Spring 2018","18-Jun",2.5,49,42,NA,NA,NA,1,2.632,0,NA,0.736,0,NA,0,25,NA,NA,NA,NA,NA,"",0,NA,0
"8",8,"BY","BYP","Brickyard Park",7,6,15,2018,"6/15/2018","Spring 2018","18-Jun",8.5,12,14,NA,NA,NA,1,5.284,0.392,NA,1.649,0.102,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,5.8252427184466
"9",9,"BY","BYP","Brickyard Park",9,6,15,2018,"6/15/2018","Spring 2018","18-Jun",9.5,2,3,NA,NA,NA,1,3.913,0,NA,1.162,0,NA,0,NA,NA,NA,NA,NA,NA,"",NA,NA,0
"10",10,"HS","HSB","Horseshoe Bay",6,6,15,2018,"6/15/2018","Spring 2018","18-Jun",11,2,2,NA,NA,NA,1,0.614,0,NA,0.122,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0
"11",11,"BY","BYP","Brickyard Park",8,7,16,2018,"7/16/2018","Summer 2018","18-Jul",10,24,39,5,34,NA,1,9.373,0,NA,2.748,0,NA,0,85,NA,NA,NA,NA,NA,"",0,NA,0
"12",12,"BY","BYP","Brickyard Park",9,7,16,2018,"7/16/2018","Summer 2018","18-Jul",11,38,49,6,43,NA,1,9.648,1.208,0.462,2.758,0.192,0.076,8,83,332,16,8,8,"N","",8.79120879120879,10.6666666666667,6.50847457627119
"13",13,"BY","BYP","Brickyard Park",10,7,16,2018,"7/16/2018","Summer 2018","18-Jul",12,32,104,2,102,NA,1,2.554,0,NA,0.749,0,NA,0,33,NA,NA,NA,NA,NA,"",0,NA,0
"14",14,"HS","HSB","Horseshoe Bay",2,7,16,2018,"7/16/2018","Summer 2018","18-Jul",3,10,25,1,24,NA,1,6.665,0,NA,1.77,0,NA,0,27,NA,NA,NA,NA,NA,"Light reading 412",0,NA,0
