"","datetime","X","date","ph","Station","TideHeight"
"5",2017-01-01 02:00:00,1,"2017-01-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.56346983295172
"7",2017-01-01 03:00:00,2,"2017-01-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.52441084157437
"9",2017-01-01 04:00:00,3,"2017-01-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.35833706244023
"29",2017-01-01 14:00:00,13,"2017-01-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.70821134505635
"31",2017-01-01 15:00:00,14,"2017-01-01",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.42322193399455
"51",2017-01-02 01:00:00,24,"2017-01-02",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.32827412479314
"53",2017-01-02 02:00:00,25,"2017-01-02",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53830696645527
"57",2017-01-02 04:00:00,27,"2017-01-02",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.50944483550473
"59",2017-01-02 05:00:00,28,"2017-01-02",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.31014175900417
"61",2017-01-02 06:00:00,29,"2017-01-02",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.09083499728232
"71",2017-01-02 11:00:00,34,"2017-01-02",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.30488611248147
"73",2017-01-02 12:00:00,35,"2017-01-02",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.50100077763927
"75",2017-01-02 13:00:00,36,"2017-01-02",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.65075877627699
"77",2017-01-02 14:00:00,37,"2017-01-02",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.69199962822666
"101",2017-01-03 02:00:00,49,"2017-01-03",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.45525559798535
"103",2017-01-03 03:00:00,50,"2017-01-03",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.62111164927371
"105",2017-01-03 04:00:00,51,"2017-01-03",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.63348056000747
"109",2017-01-03 06:00:00,53,"2017-01-03",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.26894693663513
"111",2017-01-03 07:00:00,54,"2017-01-03",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.03846921086535
"119",2017-01-03 11:00:00,58,"2017-01-03",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.0488793616317
"121",2017-01-03 12:00:00,59,"2017-01-03",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.22760941719806
"123",2017-01-03 13:00:00,60,"2017-01-03",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.40572834193139
"125",2017-01-03 14:00:00,61,"2017-01-03",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53566635505617
"147",2017-01-04 01:00:00,72,"2017-01-04",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.00483393493765
"149",2017-01-04 02:00:00,73,"2017-01-04",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.32354154821009
"175",2017-01-04 15:00:00,86,"2017-01-04",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.39408797843152
"177",2017-01-04 16:00:00,87,"2017-01-04",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.42984632858328
"179",2017-01-04 17:00:00,88,"2017-01-04",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.33368248931953
"197",2017-01-05 02:00:00,97,"2017-01-05",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.15962980232957
"305",2017-01-07 08:00:00,151,"2017-01-07",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.79669657865029
"307",2017-01-07 09:00:00,152,"2017-01-07",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.47169696619581
"309",2017-01-07 10:00:00,153,"2017-01-07",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.04931205736685
"325",2017-01-07 18:00:00,161,"2017-01-07",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.05578422308343
"327",2017-01-07 19:00:00,162,"2017-01-07",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.25296711527246
"329",2017-01-07 20:00:00,163,"2017-01-07",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.3388799613462
"331",2017-01-07 21:00:00,164,"2017-01-07",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.2787094360661
"333",2017-01-07 22:00:00,165,"2017-01-07",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.09207144320843
"345",2017-01-08 04:00:00,171,"2017-01-08",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.2344339535607
"347",2017-01-08 05:00:00,172,"2017-01-08",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.55699864148245
"349",2017-01-08 06:00:00,173,"2017-01-08",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.84109576876108
"351",2017-01-08 07:00:00,174,"2017-01-08",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",2.02057064218435
"393",2017-01-09 04:00:00,195,"2017-01-09",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.02071497456206
"397",2017-01-09 06:00:00,197,"2017-01-09",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.66399130283926
"399",2017-01-09 07:00:00,198,"2017-01-09",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.94983735182026
"401",2017-01-09 08:00:00,199,"2017-01-09",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",2.11676754082502
"403",2017-01-09 09:00:00,200,"2017-01-09",7.75,"North Point, Pier 41, San Francisco, San Francisco Bay, California",2.09014399214706
"405",2017-01-09 10:00:00,201,"2017-01-09",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.82921864356976
"407",2017-01-09 11:00:00,202,"2017-01-09",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.36441248117404
"425",2017-01-09 20:00:00,211,"2017-01-09",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.07678745942161
"427",2017-01-09 21:00:00,212,"2017-01-09",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.38361244335747
"429",2017-01-09 22:00:00,213,"2017-01-09",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53970838926797
"443",2017-01-10 05:00:00,220,"2017-01-10",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.08910060012358
"445",2017-01-10 06:00:00,221,"2017-01-10",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.41503640084474
"447",2017-01-10 07:00:00,222,"2017-01-10",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.75516125735552
"475",2017-01-10 21:00:00,236,"2017-01-10",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.16283979840199
"495",2017-01-11 07:00:00,246,"2017-01-11",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.48012159873311
"497",2017-01-11 08:00:00,247,"2017-01-11",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.82540633659073
"499",2017-01-11 09:00:00,248,"2017-01-11",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",2.10231327392714
"503",2017-01-11 11:00:00,250,"2017-01-11",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",2.09930616643493
"505",2017-01-11 12:00:00,251,"2017-01-11",7.8,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.71302346021503
"507",2017-01-11 13:00:00,252,"2017-01-11",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.12932606541794
"525",2017-01-11 22:00:00,261,"2017-01-11",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.2782788937091
"529",2017-01-12 00:00:00,263,"2017-01-12",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.7072144558823
"531",2017-01-12 01:00:00,264,"2017-01-12",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.58681900537731
"545",2017-01-12 08:00:00,271,"2017-01-12",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.52592026413988
"547",2017-01-12 09:00:00,272,"2017-01-12",7.7,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.86684588971527
"575",2017-01-12 23:00:00,286,"2017-01-12",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.40286589139997
"597",2017-01-13 10:00:00,297,"2017-01-13",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.87018690920639
"599",2017-01-13 11:00:00,298,"2017-01-13",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",2.09267585348694
"601",2017-01-13 12:00:00,299,"2017-01-13",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",2.12251384719744
"603",2017-01-13 13:00:00,300,"2017-01-13",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.89705451407042
"605",2017-01-13 14:00:00,301,"2017-01-13",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.42972984397379
"623",2017-01-13 23:00:00,310,"2017-01-13",7.55,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.13715453688106
"625",2017-01-14 00:00:00,311,"2017-01-14",7.55,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.51828990319169
"627",2017-01-14 01:00:00,312,"2017-01-14",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.73968324694734
"629",2017-01-14 02:00:00,313,"2017-01-14",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.73497243548404
"631",2017-01-14 03:00:00,314,"2017-01-14",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.51899988566932
"633",2017-01-14 04:00:00,315,"2017-01-14",7.6,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.19216334915129
"643",2017-01-14 09:00:00,320,"2017-01-14",7.55,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.21353516577913
"645",2017-01-14 10:00:00,321,"2017-01-14",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.53566211571017
"647",2017-01-14 11:00:00,322,"2017-01-14",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.8276360586113
"649",2017-01-14 12:00:00,323,"2017-01-14",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",2.00606267606485
"651",2017-01-14 13:00:00,324,"2017-01-14",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.98744231189258
"653",2017-01-14 14:00:00,325,"2017-01-14",7.45,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.72695068316472
"655",2017-01-14 15:00:00,326,"2017-01-14",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.25767690464681
"673",2017-01-15 00:00:00,335,"2017-01-15",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.28504113698041
"675",2017-01-15 01:00:00,336,"2017-01-15",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.61163373111743
"677",2017-01-15 02:00:00,337,"2017-01-15",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.76558870383628
"697",2017-01-15 12:00:00,347,"2017-01-15",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.73658064763796
"699",2017-01-15 13:00:00,348,"2017-01-15",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.86793299226006
"701",2017-01-15 14:00:00,349,"2017-01-15",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.81015287361841
"721",2017-01-16 00:00:00,359,"2017-01-16",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.05044708547491
"723",2017-01-16 01:00:00,360,"2017-01-16",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.41491746167923
"725",2017-01-16 02:00:00,361,"2017-01-16",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.67711646424466
"727",2017-01-16 03:00:00,362,"2017-01-16",7.45,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.76410168959526
"729",2017-01-16 04:00:00,363,"2017-01-16",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.65114892905341
"731",2017-01-16 05:00:00,364,"2017-01-16",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.38558527916221
"743",2017-01-16 11:00:00,370,"2017-01-16",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.14252170095898
"745",2017-01-16 12:00:00,371,"2017-01-16",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.39624276912266
"747",2017-01-16 13:00:00,372,"2017-01-16",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.60268091193829
"749",2017-01-16 14:00:00,373,"2017-01-16",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.69351641351117
"753",2017-01-16 16:00:00,375,"2017-01-16",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.35760526231544
"771",2017-01-17 01:00:00,384,"2017-01-17",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.20871412469558
"773",2017-01-17 02:00:00,385,"2017-01-17",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.51889209870324
"783",2017-01-17 07:00:00,390,"2017-01-17",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.02071405025437
"793",2017-01-17 12:00:00,395,"2017-01-17",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.0571848888974
"795",2017-01-17 13:00:00,396,"2017-01-17",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.27230625395457
"797",2017-01-17 14:00:00,397,"2017-01-17",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.44097262729358
"799",2017-01-17 15:00:00,398,"2017-01-17",7.4,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.50706213199506
"801",2017-01-17 16:00:00,399,"2017-01-17",7.5,"North Point, Pier 41, San Francisco, San Francisco Bay, California",1.4317951368928
