"","date","max.daily.sal","min.daily.sal","daily.med.sal","daily.sal.range","max.daily.wt","min.daily.wt","daily.med.wt","daily.wt.range"
"1",2017-01-01,29.879,25.9285,28.43825,3.9505,11,10.57,10.78,0.43
"2",2017-01-02,30.469,25.305,29.147,5.164,11.015,10.47,10.7775,0.545
"3",2017-01-03,30.327,25.5925,29.401,4.7345,10.945,10.435,10.79,0.51
"4",2017-01-04,31.5785,27.1865,29.799,4.392,11.07,10.69,10.9,0.380000000000001
"5",2017-01-05,30.4145,23.2905,27.061,7.124,10.97,10.365,10.76,0.605
"6",2017-01-06,30.5785,21.905,27.551,8.6735,10.94,9.91,10.765,1.03
"7",2017-01-07,30.671,23.182,27.07225,7.489,11.035,9.93,10.625,1.105
"8",2017-01-08,31.049,26.4195,28.969,4.6295,11.23,10.625,10.785,0.605
"9",2017-01-09,31.2445,27.0625,29.75,4.182,11.57,10.84,11.135,0.73
"10",2017-01-10,30.6975,23.9195,29.149,6.778,11.54,10.8,11.26,0.739999999999998
"11",2017-01-11,30.167,24.4625,28.458,5.7045,11.735,11.03,11.365,0.705
"12",2017-01-12,29.1155,16.919,25.535,12.1965,11.725,10.61,11.265,1.115
"13",2017-01-13,28.309,14.1665,23.1875,14.1425,11.63,10.365,11.115,1.265
"14",2017-01-14,28.119,13.9455,22.757,14.1735,11.64,10.425,11.11,1.215
"15",2017-01-15,27.101,12.2425,20.426,14.8585,11.55,10.43,10.96,1.12
"16",2017-01-16,23.259,11.939,17.98,11.32,11.31,10.465,10.725,0.845000000000001
"17",2017-01-17,22.6,11.792,17.3295,10.808,11.365,10.285,10.54,1.08
"18",2017-01-18,25.792,11.893,15.15975,13.899,11.33,10.28,10.515,1.05
"19",2017-01-20,16.126,14.197,15.1615,1.929,NA,NA,NA,NA
"20",2017-01-21,21.6185,10.837,14.38975,10.7815,11.02,10.05,10.425,0.969999999999999
"21",2017-01-22,22.8185,11.24,14.357,11.5785,11.11,10.19,10.425,0.92
"22",2017-01-23,18.8115,5.4095,15.119,13.402,10.815,9.42,10.5025,1.395
"23",2017-01-24,19.538,9.2445,14.0225,10.2935,10.81,9.73,10.325,1.08
"24",2017-01-25,23.8485,8.379,16.24375,15.4695,11.25,9.59,10.655,1.66
"25",2017-01-26,23.741,10.7365,17.7095,13.0045,11.31,10.02,10.8275,1.29
"26",2017-01-27,25.1805,12.5165,19.988,12.664,11.48,10.12,10.935,1.36
"27",2017-01-28,24.9745,13.4835,19.1145,11.491,11.54,10.365,10.9325,1.175
"28",2017-01-29,24.7415,13.764,20.853,10.9775,11.555,10.54,10.9825,1.015
"29",2017-01-30,23.356,15.419,20.5335,7.937,11.55,10.63,11.275,0.92
"30",2017-01-31,25.813,15.832,20.809,9.981,11.64,10.98,11.44,0.66
"31",2017-02-01,26.863,16.209,21.46425,10.654,11.72,10.92,11.3925,0.800000000000001
"32",2017-02-02,26.3945,16.0445,21.45325,10.35,11.66,10.84,11.37,0.82
"33",2017-02-03,26.6565,15.4625,23.047,11.194,11.79,10.99,11.625,0.799999999999999
"34",2017-02-04,27.4795,16.19,23.07575,11.2895,11.98,11.315,11.69,0.665000000000001
"35",2017-02-05,27.0635,14.013,21.3005,13.0505,12.03,11.19,11.6975,0.84
"36",2017-02-06,29.2795,17.9145,25.5985,11.365,12.24,11.6,11.9925,0.640000000000001
"37",2017-02-07,30.775,19.26,25.5935,11.515,12.51,11.885,12.075,0.625
