"","date","X","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","avg.oog","perc.rdw","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","dissolved.oxygen","daily.min.do","daily.max.do","daily.med.do","daily.do.range","ph","daily.min.ph","daily.max.ph","daily.med.ph","daily.ph.range","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","min.daily.sal.lt5","min.daily.sal.lt10","min.daily.sal.lt15","max.daily.sal.lt5","max.daily.sal.lt10","max.daily.sal.lt15","daily.sal.range.gt10","daily.sal.range.gt5","min.daily.ph.lt7","min.daily.ph.lt8","max.daily.ph.lt7","daily.ph.range.gt0.5","daily.max.wt.gt20"
"1",2018-06-15,1,26.4,24.6,NA,NA,2.5,1.502,1.2285,30.2,14,35.3837410427477,38.6666666666666,24.0655707150213,30.922,29.3875,31.588,2.1715,30.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.38,12.7,14.98,2.17,13.44,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0
"2",2018-07-16,2,18.7,15.7,4,14.7,3,1.8396,1.19,21.1,20.3,22.0345229555237,30.3333333333333,15.9532401402078,31.29,30.3875,31.9415,1.449,31.40675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.96,14.1875,16.0625,1.765,14.88875,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0
"3",2018-08-06,3,25.5,22.9,11.2,14.3,4,2.1238,1.3822,22.8,20.2,35.8690476190476,16.1111111111111,23.4401013659695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0
"4",2018-09-10,4,15.6,25,6.8,8.8,1,1.912,0.46775,17.6,26.2,22.0342303777911,44.1111111111111,13.3043601047504,32.1355,31.697,32.3305,0.665000000000003,32.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1425,15.655,16.585,0.875,15.9675,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0
"5",2018-10-09,5,26.4,37,5.2,21.2,1.5,3.9301,2.3831,32.3,36.9,43.3073361549495,18.4444444444444,33.6924986257733,32.02425,31.5255,32.291,0.713999999999999,32.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8075,15.35,16.345,0.975,15.745,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0
"6",2018-11-06,6,12.2,23.9,5.3,6.9,2,3.2271,2.3626,38.9,34,40.3062896102184,41.3333333333333,30.1874951149873,30.168,29.86,30.359,0.556750000000001,30.2365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.79,15.47,16.2225,0.787500000000001,15.7925,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0
"7",2018-12-04,7,7.2,15.9,2.9,4.3,1.5,1.4696,0.6279,9.7,16.5,31.9491457052433,24.5555555555556,23.6954681057379,29.9045,29.7655,30.03,0.3215,29.9055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.73,13.67,13.91,0.43,13.76625,2,2,2,2,2,2,2,2,NA,NA,NA,NA,0
"8",2019-01-31,8,23.5,35.7,10.2,13.3,2.5,3.4509,0.414,14.7,56.5,15.442087819201,25.6666666666667,8.25081255588385,30.882,29.9255,31.6015,1.7,30.98925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.68,12.25,12.88,0.58,12.625,1,1,1,1,1,1,1,5,NA,NA,NA,NA,0
"9",2019-02-21,9,19.2,24.7,4.4,14.8,2,2.91133333333333,0.128333333333333,3.66666666666667,25.4444444444444,11.1649893393663,27.2222222222222,4.19968652820139,27.29975,22.1445,29.8595,7.033,26.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.31,11.69,12.605,0.860000000000001,12.12,1,1,1,1,1,1,5,16,NA,NA,NA,NA,0
"10",2019-03-14,10,20.2,38.5,7.9,12.3,2,3.4296,0.3972,11.9,41.2,19.8222816022884,45.8888888888889,10.6292897570023,22.18275,15.648,27.339,11.829,23.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.92,11.485,12.22,0.77,11.91,1,1,11,1,1,1,17,21,NA,NA,NA,NA,0
