scientific_name,observed_on,location,latitude,longitude,Type,code,url,image_url,reference
Fucus distichus ssp edentatus,1978-1983,Coyote Point,37.591971,-122.321033,attached,1,NA,NA,"Josselyn & West, 1985"
Fucus distichus ssp edentatus,1978-1983,Tiburon Peninsula,37.894124,-122.449779,attached,1,NA,NA,"Josselyn & West, 1985"
Fucus distichus ssp edentatus,1978-1983,Twin Sisters,NA,NA,attached,1,NA,NA,"Josselyn & West, 1985"
Fucus distichus ssp edentatus,1978-1983,China Camp,38.001375,-122.46163,attached,1,NA,NA,"Josselyn & West, 1985"
Fucus distichus ssp edentatus,1978-1983,Point Pinol,38.001323,-122.366244,attached,1,NA,NA,"Josselyn & West, 1985"
Fucus distichus ssp edentatus,1978-1983,Crockett,38.057227,-122.214238,attached,1,NA,NA,"Josselyn & West, 1985"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
