"","date","X","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","avg.oog","perc.rdw","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","dissolved.oxygen","daily.min.do","daily.max.do","daily.do.range","daily.med.do","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","min.daily.sal.lt5","min.daily.sal.lt10","min.daily.sal.lt15","max.daily.sal.lt5","max.daily.sal.lt10","max.daily.sal.lt15","daily.sal.range.gt10","daily.sal.range.gt5","min.daily.ph.lt7","min.daily.ph.lt8","max.daily.ph.lt7","daily.ph.range.gt0.5","daily.max.wt.gt20"
"1",2018-06-14,1,30,35.6,NA,NA,3,6.601,3.9375,82,77.6666666666667,49.2477866886313,49.7777777777778,24.8882440829904,22.35,20.3,26,5.75,22.4,7.6,6.8,8.5,1.7,7.625,7.625,7.7,8.1,0.4,7.8,17.95,16,22.35,6.45,18.075,1,1,1,1,1,1,1,23,1,32,1,9,0
"2",2018-07-17,2,90.2,29.9,3.2,87,1,1.4398,0.487,8.4,24.9,9.67748917748917,13.8888888888889,8.0279341369392,25.1,23.4,27.9,4.85,25,7.3,6.2,8.1,1.95,7.35,7.8,7.7,7.9,0.3,7.8,19.75,17.95,22.9,5.15,19.675,1,1,1,1,1,1,1,14,1,34,1,8,0
"3",2018-08-07,3,163.5,53.4,15.4,148.1,1,2.1754,0.3992,7.8,28.9,13.3245725553025,7.77777777777777,9.16204209893318,25.75,24.55,28.4,3.65,25.5,7.25,5.9,10,4.1,7.35,7.9,7.8,8.4,0.649999999999999,8,21.2,19.1,23,3.5,21.125,1,1,1,1,1,1,1,3,1,22,1,16,0
"4",2018-09-11,4,120.8,58.2,4.3,116.5,1,3.3098,0.4294,10.6,47.1,18.5738325122781,7.77777777777777,11.1251634984535,26.2,24.9,28.45,3.3,26.15,7.05,5.8,8,2,7.05,7.9,7.7,8,0.2,7.9,19.4,18,21.25,3,19.375,1,1,1,1,1,1,1,1,1,36,1,1,0
"5",2018-12-05,5,35.1,55,13.5,21.6,3,3.3005,1.2959,45.2,58.9,33.6364714747263,42.2222222222222,23.0614667846687,26,25.1,28.1,3.1,25.925,7.4,6.4,8.3,1.7,7.4,7.9,7.8,8,0.2,7.9,17.2,15.95,18.4,2.3,17.4,1,1,1,1,1,1,1,3,10,86,10,10,0
"6",2019-01-30,6,25.2,49.3,8.8,16.4,3,3.2846,0.6915,23.1,56.4,19.8561400534955,26.5555555555555,12.0422754261229,22.9,21.575,25.775,4.85,23.025,8.7,8.45,9.1,0.65,8.8,7.8,7.8,7.9,0.100000000000001,7.85,11.3,10.2,12.125,2.025,11.2625,1,4,12,1,1,1,9,26,5,57,5,5,0
"7",2019-02-20,7,28.4,49.1,15,13.4,2.5,2.30755555555556,0.160444444444444,8.22222222222222,48.375,9.44711566904561,35.6666666666667,5.05535040694236,12.75,10,19.8,10.35,12.1,9.4,8.6,10.1,1.35,9.45,7.7,7.7,7.8,0.0999999999999996,7.7,11.1,9.9,11.95,2.1,10.9,2,11,21,1,1,4,13,20,1,22,1,1,0
"8",2019-03-15,8,21.7,38.2,13.2,8.5,2,3.2326,0.1099,5.8,75.3,5.43926740101599,18.1111111111111,2.28019209808714,5,3.9,11.5,6.4,5,9.85,9.4,10.1,0.700000000000001,9.9,7.85,7.8,7.9,0.100000000000001,7.85,11.2,10.45,12.3,1.8,11.3,19,24,24,3,12,22,3,16,1,23,1,1,0
"9",2019-04-11,9,19.4,37.2,11.4,8,2,3.6192,0.1755,6.8,96.2,6.81932697769802,14.6666666666667,4.05590927857383,7.3,5.85,15,8.85,7.25,9.25,8.7,9.75,1.1,9.2,8,7.9,8.1,0.2,7.9,14.7,13.6,17,3.1,14.55,6,28,28,1,2,14,10,26,1,23,1,4,0
"10",2019-05-09,10,12.3,40.5,8.9,3.4,5,4.5223,1.4546,57.5,92.7,33.1041596958124,0,21.6652968514317,9.45,7.475,17.05,9.325,8.8625,8.5,7.675,9,1.55,8.4375,8,7.8,8.1,0.3,8,16.8,15.15,20.375,5.675,17.1,1,25,29,1,1,7,11,28,1,28,1,4,0
