"","X","date","max.daily.sal","min.daily.sal","daily.med.sal","daily.sal.range","max.daily.do","min.daily.do","daily.med.do","daily.do.range","max.daily.ph","min.daily.ph","daily.med.ph","daily.ph.range","max.daily.wt","min.daily.wt","daily.med.wt","daily.wt.range"
"1",1,"2017-01-01",NA,NA,NA,NA,11.1,8.3,9.1,2.8,8.2,7.8,7.9,0.399999999999999,10.8,9.2,10.175,1.6
"2",2,"2017-01-02",NA,NA,NA,NA,11.05,8,9,3.05,8.2,7.8,7.9,0.399999999999999,10.6,9.35,10.25,1.25
"3",3,"2017-01-03",NA,NA,NA,NA,10.2,8.3,8.875,1.9,8.1,7.8,7.8,0.3,10.6,9.5,10.225,1.1
"4",4,"2017-01-04",NA,NA,NA,NA,8.9,7.9,8.5,1,7.8,7.8,7.8,0,10.8,10.65,10.8,0.15
"5",5,"2017-01-05",NA,NA,NA,NA,11.7,7.8,8.9,3.9,8.05,7.8,7.9,0.250000000000001,11,10.55,10.675,0.449999999999999
"6",6,"2017-01-06",NA,NA,NA,NA,9.85,7.9,8.7,1.95,7.9,7.8,7.8,0.100000000000001,10.6,9.65,10.2,0.949999999999999
"7",7,"2017-01-07",NA,NA,NA,NA,9.3,8.2,8.65,1.1,7.8,7.8,7.8,0,10.6,9.8,10.1,0.799999999999999
"8",8,"2017-01-08",NA,NA,NA,NA,9.1,8.7,9,0.4,NA,NA,NA,NA,12.1,10.3,11.15,1.8
"9",9,"2017-01-09",NA,NA,NA,NA,9.05,8.4,8.6,0.65,NA,NA,NA,NA,12,10.9,11.45,1.1
"10",10,"2017-01-10",NA,NA,NA,NA,9.2,8.85,9,0.35,7.9,7.7,7.8,0.2,12.4,10.9,11.2,1.5
"11",11,"2017-01-11",NA,NA,NA,NA,9.1,8.55,8.85,0.549999999999999,7.8,7.8,7.8,0,11.9,11.1,11.3,0.800000000000001
"12",12,"2017-01-12",20.8,16.7,19.525,4.1,9,7.9,8.4,1.1,7.8,7.7,7.8,0.0999999999999996,11.4,10.9,11.15,0.5
"13",13,"2017-01-13",18.4,14.35,17.425,4.05,9,7.65,8.25,1.35,7.8,7.7,7.7,0.0999999999999996,10.9,10.4,10.8,0.5
"14",14,"2017-01-14",NA,NA,NA,NA,9,8.15,8.6,0.85,7.8,7.7,7.8,0.0999999999999996,10.8,10.15,10.525,0.65
"15",15,"2017-01-15",NA,NA,NA,NA,8.85,8.1,8.5,0.75,7.7,7.7,7.7,0,10.8,10.35,10.6,0.450000000000001
"16",16,"2017-01-16",NA,NA,NA,NA,8.6,8.1,8.35,0.5,7.7,7.6,7.7,0.100000000000001,10.6,10,10.375,0.6
"17",17,"2017-01-17",NA,NA,NA,NA,8.9,7.8,8.35,1.1,7.8,7.6,7.7,0.2,10.5,9.8,10.35,0.699999999999999
"18",18,"2017-01-18",NA,NA,NA,NA,9.3,7.7,8,1.6,7.7,7.6,7.65,0.100000000000001,10.4,9.8,10.2,0.6
"19",19,"2017-01-19",NA,NA,NA,NA,9.5,8.2,9,1.3,7.8,7.6,7.7,0.2,10.7,9.95,10.3,0.75
"20",20,"2017-01-20",NA,NA,NA,NA,9.5,8.7,9.2,0.800000000000001,7.7,7.6,7.6,0.100000000000001,10.9,10.25,10.7,0.65
"21",21,"2017-01-21",NA,NA,NA,NA,9.6,8.3,8.7,1.3,7.7,7.6,7.7,0.100000000000001,10.8,10.2,10.7,0.600000000000001
"22",22,"2017-01-22",NA,NA,NA,NA,9.7,9,9.35,0.699999999999999,7.6,7.6,7.6,0,10.5,10.05,10.4,0.449999999999999
"23",23,"2017-01-23",13.2,11.05,11.65,2.15,9,8.5,8.8,0.5,7.6,7.6,7.6,0,10.75,10.4,10.5,0.35
"24",24,"2017-01-24",NA,NA,NA,NA,9.6,8.8,9.25,0.799999999999999,7.6,7.6,7.6,0,10.7,9.9,10.35,0.799999999999999
"25",25,"2017-01-25",12.2,9.4,12,2.8,9.45,8.7,8.9,0.75,7.7,7.6,7.6,0.100000000000001,11.2,10.4,10.4,0.799999999999999
"26",26,"2017-01-26",NA,NA,NA,NA,10,8.5,9,1.5,7.8,7.6,7.7,0.2,11.5,10.4,10.5,1.1
"27",27,"2017-01-27",NA,NA,NA,NA,11,8.4,8.8,2.6,8,7.7,7.7,0.3,11.2,10.5,10.7,0.699999999999999
"28",28,"2017-01-28",NA,NA,NA,NA,11.2,8.55,9.15,2.65,8.05,7.7,7.7,0.350000000000001,11.05,10.1,10.7,0.950000000000001
"29",29,"2017-01-29",NA,NA,NA,NA,11.7,8.3,8.8,3.4,8.1,7.7,7.8,0.399999999999999,11.1,10.6,10.75,0.5
"30",30,"2017-01-30",NA,NA,NA,NA,11.05,8.45,9.1,2.6,8.1,7.7,7.8,0.399999999999999,11.25,10.1,10.9,1.15
"31",31,"2017-01-31",NA,NA,NA,NA,10.35,8.4,8.775,1.95,8,7.7,7.8,0.3,11.4,10.75,11.15,0.65
"32",32,"2017-02-01",19.4,17.2,17.9,2.2,11,8.3,8.5,2.7,8.1,7.7,7.775,0.399999999999999,11.2,10.8,11.1,0.399999999999999
"33",33,"2017-02-02",NA,NA,NA,NA,9.1,8.3,8.8,0.799999999999999,7.8,7.7,7.75,0.0999999999999996,11.5,10.8,11.025,0.699999999999999
"34",34,"2017-02-03",19.2,16.55,16.85,2.65,9.6,8.8,9,0.799999999999999,7.9,7.7,7.8,0.2,12.15,11.15,11.8,1
"35",35,"2017-02-04",NA,NA,NA,NA,10.3,8.75,9,1.55,7.9,7.7,7.8,0.2,12.7,11.4,12.05,1.3
