"","datetime","date","ph"
"1",2017-01-01 02:00:00,2017-01-01,7.8
"2",2017-01-01 03:00:00,2017-01-01,7.8
"3",2017-01-01 04:00:00,2017-01-01,7.8
"4",2017-01-01 05:00:00,NA,NA
"5",2017-01-01 06:00:00,NA,NA
"6",2017-01-01 07:00:00,2017-01-01,7.9
"7",2017-01-01 08:00:00,2017-01-01,7.9
"8",2017-01-01 09:00:00,2017-01-01,7.9
"9",2017-01-01 10:00:00,2017-01-01,7.9
"10",2017-01-01 11:00:00,2017-01-01,7.85
"11",2017-01-01 12:00:00,2017-01-01,7.9
"12",2017-01-01 13:00:00,2017-01-01,7.9
"13",2017-01-01 14:00:00,2017-01-01,7.95
"14",2017-01-01 15:00:00,NA,NA
"15",2017-01-01 16:00:00,2017-01-01,8
"16",2017-01-01 17:00:00,2017-01-01,8.1
"17",2017-01-01 18:00:00,2017-01-01,8.1
"18",2017-01-01 19:00:00,2017-01-01,8.2
"19",2017-01-01 20:00:00,2017-01-01,8.2
"20",2017-01-01 21:00:00,NA,NA
"21",2017-01-01 22:00:00,NA,NA
"22",2017-01-01 23:00:00,NA,NA
"23",2017-01-02 00:00:00,2017-01-02,7.8
"24",2017-01-02 01:00:00,2017-01-02,7.8
"25",2017-01-02 02:00:00,2017-01-02,7.8
"26",2017-01-02 03:00:00,2017-01-02,7.8
"27",2017-01-02 04:00:00,NA,NA
"28",2017-01-02 05:00:00,NA,NA
"29",2017-01-02 06:00:00,NA,NA
"30",2017-01-02 07:00:00,2017-01-02,7.9
"31",2017-01-02 08:00:00,2017-01-02,7.8
"32",2017-01-02 09:00:00,2017-01-02,7.8
"33",2017-01-02 10:00:00,2017-01-02,7.8
"34",2017-01-02 11:00:00,2017-01-02,7.8
"35",2017-01-02 12:00:00,NA,NA
"36",2017-01-02 13:00:00,2017-01-02,7.9
"37",2017-01-02 14:00:00,2017-01-02,7.9
"38",2017-01-02 15:00:00,2017-01-02,7.9
"39",2017-01-02 16:00:00,NA,NA
"40",2017-01-02 17:00:00,2017-01-02,8.1
"41",2017-01-02 18:00:00,2017-01-02,8.1
"42",2017-01-02 19:00:00,2017-01-02,8.1
"43",2017-01-02 20:00:00,2017-01-02,8.2
"44",2017-01-02 21:00:00,2017-01-02,8.1
"45",2017-01-02 22:00:00,2017-01-02,8.1
"46",2017-01-02 23:00:00,2017-01-02,8.1
"47",2017-01-03 00:00:00,2017-01-03,8.1
"48",2017-01-03 01:00:00,NA,NA
"49",2017-01-03 02:00:00,2017-01-03,7.8
"50",2017-01-03 03:00:00,2017-01-03,7.8
"51",2017-01-03 04:00:00,2017-01-03,7.8
"52",2017-01-03 05:00:00,NA,NA
"53",2017-01-03 06:00:00,2017-01-03,7.9
"54",2017-01-03 07:00:00,2017-01-03,7.9
"55",2017-01-03 08:00:00,2017-01-03,7.9
"56",2017-01-03 09:00:00,NA,NA
"57",2017-01-03 10:00:00,2017-01-03,7.8
"58",2017-01-03 11:00:00,2017-01-03,7.8
"59",2017-01-03 12:00:00,2017-01-03,7.8
"60",2017-01-03 13:00:00,NA,NA
"61",2017-01-03 14:00:00,NA,NA
"62",2017-01-03 15:00:00,NA,NA
"63",2017-01-03 16:00:00,NA,NA
"64",2017-01-03 17:00:00,NA,NA
"65",2017-01-03 18:00:00,NA,NA
"66",2017-01-03 19:00:00,NA,NA
"67",2017-01-03 20:00:00,2017-01-03,7.8
"68",2017-01-03 21:00:00,2017-01-03,7.8
"69",2017-01-03 22:00:00,2017-01-03,7.8
"70",2017-01-03 23:00:00,2017-01-03,7.8
"71",2017-01-04 00:00:00,NA,NA
"72",2017-01-04 01:00:00,NA,NA
"73",2017-01-04 02:00:00,NA,NA
"74",2017-01-04 03:00:00,NA,NA
"75",2017-01-04 04:00:00,NA,NA
"76",2017-01-04 05:00:00,NA,NA
"77",2017-01-04 06:00:00,NA,NA
"78",2017-01-04 07:00:00,NA,NA
"79",2017-01-04 08:00:00,NA,NA
"80",2017-01-04 09:00:00,NA,NA
"81",2017-01-04 10:00:00,NA,NA
