"","datetime","date","water_temp"
"1",2017-01-01 00:00:00,2017-01-01,10.3
"2",2017-01-01 01:00:00,2017-01-01,10.3
"3",2017-01-01 02:00:00,2017-01-01,10.3
"4",2017-01-01 03:00:00,2017-01-01,9.9
"5",2017-01-01 04:00:00,2017-01-01,10.2
"6",2017-01-01 05:00:00,NA,NA
"7",2017-01-01 06:00:00,NA,NA
"8",2017-01-01 07:00:00,2017-01-01,9.55
"9",2017-01-01 08:00:00,2017-01-01,9.55
"10",2017-01-01 09:00:00,2017-01-01,9.5
"11",2017-01-01 10:00:00,NA,NA
"12",2017-01-01 11:00:00,NA,NA
"13",2017-01-01 12:00:00,2017-01-01,10.75
"14",2017-01-01 13:00:00,2017-01-01,10.8
"15",2017-01-01 14:00:00,2017-01-01,10.8
"16",2017-01-01 15:00:00,2017-01-01,10.55
"17",2017-01-01 16:00:00,2017-01-01,10.15
"18",2017-01-01 17:00:00,NA,NA
"19",2017-01-01 18:00:00,2017-01-01,9.4
"20",2017-01-01 19:00:00,2017-01-01,9.2
"21",2017-01-01 20:00:00,2017-01-01,9.2
"22",2017-01-01 21:00:00,NA,NA
"23",2017-01-01 22:00:00,NA,NA
"24",2017-01-01 23:00:00,NA,NA
"25",2017-01-02 00:00:00,2017-01-02,10.4
"26",2017-01-02 01:00:00,2017-01-02,10.4
"27",2017-01-02 02:00:00,2017-01-02,10.4
"28",2017-01-02 03:00:00,2017-01-02,10.4
"29",2017-01-02 04:00:00,NA,NA
"30",2017-01-02 05:00:00,NA,NA
"31",2017-01-02 06:00:00,NA,NA
"32",2017-01-02 07:00:00,2017-01-02,9.75
"33",2017-01-02 08:00:00,2017-01-02,10
"34",2017-01-02 09:00:00,2017-01-02,10.25
"35",2017-01-02 10:00:00,2017-01-02,10.3
"36",2017-01-02 11:00:00,2017-01-02,10.25
"37",2017-01-02 12:00:00,2017-01-02,10.3
"38",2017-01-02 13:00:00,2017-01-02,10.4
"39",2017-01-02 14:00:00,2017-01-02,10.6
"40",2017-01-02 15:00:00,2017-01-02,10.35
"41",2017-01-02 16:00:00,NA,NA
"42",2017-01-02 17:00:00,2017-01-02,9.5
